text,source,label,severity,language
Ellarum veliya vaanga da,whatsapp,,,Tanglish
Vanthu en sunni ah oombu da Ooty mundaa,whatsapp,,,Tanglish
Such a bitch bala,whatsapp,,,English
Thevidiya bala oomba kuda laaki illa da nee thondi ketha,whatsapp,,,Tanglish
Dei 50 anupuga da,whatsapp,,,Tanglish
Evanda mathan phonela irundu message panrathu 🤣,whatsapp,,,English
"ஜெஃபின் ஓரினச்சேர்க்கையாளன்"" என்பதை தமிழில் ""ஜெஃபின் ஒரு பால் ஈர்ப்பாளர்"" அல்லது ""ஜெஃபினுக்கு ஆண்களின் மீது ஈர்ப்பு உண்டு"" என்று சொல்லலாம்.",whatsapp,,,Tamil
"தொல்ஸ் என்பது பெண்ணியம் ஆர்வமுள்ள ஒருவராகும், அவர் பெண்களுடன் காமம் செய்ய விரும்புகிறார். @⁨Thols💫 Kuchi Naai⁩",whatsapp,,,Tamil
தொல்ஸ் என்பது எப்போது மண்ணில் தன் உருண்டையை உறிஞ்சிக்கொண்டே இருப்பவன்.,whatsapp,,,Tamil
தோல்ஸ் என்ற மனிதனுக்கு எப்போதும் தன்னுடைய குத்தியை வாயில் வைத்து உறிஞ்சுவதற்கான பழக்கம் உள்ளது.,whatsapp,,,Tamil
ஜெஃபின் ஆண்கள் மற்றும் பாலினத்தவர்களுடன் அதிகமாக உடலுறவு கொண்டார்.,whatsapp,,,Tamil
"தோல்ஸ் அனைவருடனும் உடலுறவு கொள்ளும் ஒரு பையன், அவர் விலங்குகளுடன் கூட உடலுறவு கொள்கிறார், மேலும் அவர் குதிரை ஆண்குறியை உறிஞ்சுகிறார் <This message was edited>",whatsapp,,,Tamil
"ஜெஃபின் ஆணல்ல, பெண்ணாகவும் திருநங்கையாகவும் கருதப்படுகிறார். அவன் பகுதி நேரமாக ஆணின் ஆண்குறியை உறிஞ்சுவதும், இரவில் விபச்சாரியாகத் தனது தொழிலைச் செய்வதும் ஆகும்.",whatsapp,,,Tamil
"நெடுஞ்சாலையில் டார்ச் விளக்கைப் பிடித்துக் கொண்டு லாரி ஓட்டுநர்களின் கண்களுக்கு நேராக டார்ச் விளக்கைக் காட்டி அவர்களை நிறுத்தி மயக்கி தங்கள் பிராத்தல் வீட்டிற்கு அழைத்துச் செல்லும் ஓரினச்சேர்க்கையாளர் தோல்ஸ் அவர்களுடன் ஒரு கடினமான குதவழி உடலுறவு கொள்கிறார், அவர்களுடன் ஒரு ஃபோர்ப்ளே செய்கிறார் வெறும் 2 ரூபாய் மட்டுமே",whatsapp,,,Tamil
"ஜெஃபின் இலக்கிய ரீதியாக கேஃபின் என்று அழைக்கப்படுகிறார், அவர் ஓரின சேர்க்கை தொழிலில் பிரபலமானவர் மற்றும் அவரது உறிஞ்சும் திறமையால் நன்கு வளர்ந்தவர். ஒரு முறை கேஃபின் ஒரு நாயை மிகவும் கடினமாக உறிஞ்சியதால் அந்த நாய் உடனடியாக இறந்துவிட்டது.",whatsapp,,,Tamil
"அவர் தனது தொழிலை இலவசமாகவும், அதை சேவையாகவும் செய்து வருகிறார், மேலும் LGBTQ தலைவரிடமிருந்து விருதைப் பெறுகிறார்.",whatsapp,,,Tamil
iruku da,whatsapp,,,Tanglish
"தோல்ஸ் ஒரு லெஸ்பியன் குதிரைகளுடன் உடலுறவு கொள்ள விரும்புகிறார் அவர் எப்போதும் தனது புண்டையில் 2 முதல் 3 குதிரைகள் டிக் வேண்டும் என்று விரும்பினார் அவள் பரந்த திறந்த புண்டையை வைத்திருக்கிறாள் ஒரு 5 குதிரை கூட அதன் டிக் அவளது புண்டைக்குள் அனுப்ப முடியும் அது எவ்வளவு பெரியது குதிரை போன்ற விலங்குகளுடன் உடலுறவு கொள்ள அவர் எப்போதும் ஏங்குகிறார், யானை, பல்லிகள் அவள் கூட பல்லிகளின் சிறிய டிக் உறிஞ்சும்",whatsapp,,,Tamil
"மார்கழி மாதத்தில் தினமும் இரவில் தெரு நாய்களுக்கு விளக்கு பிடிக்கிறார், ஒரு நாயைப் பிடித்தார்.",whatsapp,,,Tamil
"இதுதான் கேஃபின் கதையின் கதைக்களம், நன்றி வணக்கம்.",whatsapp,,,Tamil
"ஒவ்வொருவரின் ஆண்குறியையும், விலங்குகளையும், தனது சொந்த ஆண்குறியையும் உறிஞ்சும் தோல்ஸ் என்று அழைத்த நபரின் முடிவு இதுதான், இந்த கதை விரைவில் தொடரும், மீண்டும் தோல்ஸ் அனைவரின் ஆண்குறியையும் உறிஞ்சத் தொடங்கும், எனவே பகுதி 2 தொடரும் வரை காத்திருங்கள்..... <This message was edited>",whatsapp,,,Tamil
"காத்திருக்கும் நேரத்தில், ஜெஃபின் என் குண்டியை வேகமாக உறிஞ்சப் போகிறான்.",whatsapp,,,Tamil
"இனிமேல் நீங்க அவரோட குண்டியை ஃபக் பண்ணலாம், அவர் எல்லாருக்கும் ரொம்ப தெளிவா காட்டுவார்",whatsapp,,,Tamil
Saturday Leave and Sunday Leave da,whatsapp,,,English
Sorry machi,whatsapp,,,English
Dei yanna da ithu😀,whatsapp,,,Tanglish
Dei avaney ena maari msg panitu irukan da,whatsapp,,,Tanglish
Theiryuthu antha punda pandra vela thaanu,whatsapp,,,English
Dei 60km ah 3hrs ooturaga da inga,whatsapp,,,Tanglish
Aabid ah driver pakkathula poi ukara sollu da,whatsapp,,,Tanglish
kasu kaila illa da,whatsapp,,,Tanglish
vera ethavathu kelu da pathukalam,whatsapp,,,Tanglish
4.5k only/-,whatsapp,,,English
Ena da profile athu😂😂,whatsapp,,,English
Nee dhan asal thevidiyaaa kanadi irundha eduthu paaru nala theriyum,whatsapp,,,Tanglish
Enna yen camera laa unna theriyuma enna,whatsapp,,,Tanglish
Dei item kaara munda ena da loosi thevadiya maari pesitey iruka,whatsapp,,,Tanglish
Una epo da senji vida poraga nu theriyala,whatsapp,,,Tanglish
Oomba vituruven unna <This message was edited>,whatsapp,,,English
Neeye pussy munda,whatsapp,,,English
Avan thanda unaku pool iruku nu nambi oombuvan da,whatsapp,,,Tanglish
Othaa paithyam pudichirchaa,whatsapp,,,English
Unaku thanda vela punda ilama pesitu iruka thevadiya poi hostel la naalu peru kuda padutha kuda kaasu sambaari da,whatsapp,,,Tanglish
Nee thanda thevadiya hostel la iruka thevadiya,whatsapp,,,English
Elarumey una verified thevadiya ah approve pani una oothutu thane irukaga,whatsapp,,,English
Enga da karthi kuda paduka potiya,whatsapp,,,Tanglish
Nee thane top tier item anga,whatsapp,,,English
Neeye oru potta thanda,whatsapp,,,English
"Epo da normal human being ah vaala pora, thevadiya maariye irukatha da",whatsapp,,,Tanglish
Bitch,whatsapp,,,English
Bala Selected Doi,whatsapp,,,English
Reference lam venam da monthly 1k or 500 anupu,whatsapp,,,English
Next month,whatsapp,,,English
Pg bus travels kea 12 acchuda,whatsapp,,,English
Lcu illa da,whatsapp,,,Tanglish
"Office la orruthan kuptu, nalla illa nu sollranda",whatsapp,,,Tanglish
1st half slow ah pogum,whatsapp,,,English
Mathan ae code send panu fa,whatsapp,,,English
Dei lavade phone edu da item kaara thaiyolo,whatsapp,,,Tanglish
Pubg ஆல் பாதிக்கபட்ட நபர்கள்,whatsapp,,,Tamil
All clear,whatsapp,,,English
Nalla erukaen da,whatsapp,,,Tanglish
Phone eduka matran <This message was edited>,whatsapp,,,English
2.5 ah ila evlo da,whatsapp,,,Tanglish
Dei evlo da fees uh ?,whatsapp,,,Tanglish
Yanna da onume Puriyala,whatsapp,,,Tanglish
Earphone,whatsapp,,,English
Evlo da fees uh ?,whatsapp,,,Tanglish
"Varuthu , website la paatha crct ah theriyum",whatsapp,,,English
Pussy privilege,whatsapp,,,English
2150 if one paper waved,whatsapp,,,English
"Anney power use panitaru da thols , athu tha… inimey annan tha pooley",whatsapp,,,English
Intha sem etha paper,whatsapp,,,English
No missed and improvement test,whatsapp,,,English
November 3 thott model,whatsapp,,,English
nee it vera aalunga bro,whatsapp,,,Tanglish
Happy birthday @⁨Clg RaGaVaN⁩,whatsapp,,,English
Na ippo tha machi thooga poren,whatsapp,,,English
Happy birthday machi✨,whatsapp,,,English
Happy Birthday da 🫂@⁨Clg RaGaVaN⁩,whatsapp,,,English
Thanks guys🙏,whatsapp,,,English
Happy Birthday da @⁨Clg RaGaVaN⁩ ✨🎉,whatsapp,,,English
Happy Birthday da @⁨Clg RaGaVaN⁩ 🎉🎂,whatsapp,,,English
Oh sari da machi,whatsapp,,,Tanglish
That is the answer for your question,whatsapp,,,English
Machi advance thara sollu,whatsapp,,,English
Those who are doing internship also should attend this without fail,whatsapp,,,English
Ena da ivana vechitu elavu pundaiya iruku,whatsapp,,,Tanglish
Intern nama than panurom aprm iitm boys,whatsapp,,,English
Thevadiya jagan da avan,whatsapp,,,Tanglish
Nee attend pandriya,whatsapp,,,English
Neega solrathu tha,whatsapp,,,English
Jintha potta,whatsapp,,,English
Athuku nama office la poi pesanummm,whatsapp,,,English
Thrla machi en aalu epo varalo atha poruthu thaan,whatsapp,,,English
Padiga da padiga da nuuuu solren ketigala daa,whatsapp,,,Tanglish
Enna da punda,whatsapp,,,Tanglish
Enna da athula mistake,whatsapp,,,Tanglish
Dai kuthi enna da solla vara,whatsapp,,,Tanglish
Shit fine specimen,whatsapp,,,English
In Home,whatsapp,,,English
Thursday,whatsapp,,,English
Friday any works irutha finish pananum like no due..,whatsapp,,,English
Hostel la outpass tharala,whatsapp,,,English
Final year project report submission,whatsapp,,,English
"Sootha adika kooptanga, avinga sootha adichu amchuvitten <This message was edited>",whatsapp,,,English
Conference,whatsapp,,,English
Ama da mapla,whatsapp,,,Tanglish
Course is completed any certificate okay 👍🏻,whatsapp,,,English
Completed course la entha certificate naalum okay ahm,whatsapp,,,English
Direct meaning 😂,whatsapp,,,English
Dai athu puriyuthu but elarum completed course count thanae podrom,whatsapp,,,English
Complete na certificate erukurathu thanae,whatsapp,,,English
Theriyala da college grp kula type pana phone hang aaguthu,whatsapp,,,Tanglish
Your Phone is allergetic for clg grp pola,whatsapp,,,English
Naney allergic tha dept ku,whatsapp,,,English
Theriyum da en junni,whatsapp,,,Tanglish
Enna da achi unnaku,whatsapp,,,Tanglish
Machi ellam mark evlo da,whatsapp,,,Tanglish
Otha,whatsapp,,,English
Sari vanthu ombu,whatsapp,,,Tanglish
Awesome bro 👍🏿,whatsapp,,,English
B illana B + varum da <This message was edited>,whatsapp,,,English
Varathu varathu,whatsapp,,,English
Ena da enenamo Iruku 😂,whatsapp,,,Tanglish
Illa da,whatsapp,,,Tanglish
Machi avan peru jegaynesan da,whatsapp,,,Tanglish
Juspay drive,whatsapp,,,English
2girls 1 cup maojjj ae fanatsyy tha,whatsapp,,,English
Aprom enna pundaiku da enga varinga,whatsapp,,,Tanglish
poi reels paru da punda,whatsapp,,,Tanglish
Illa da on sotta kunja,whatsapp,,,Tanglish
Sotta kunju than nalla erukum nu avan solran,whatsapp,,,Tanglish
result published nu mail vanthucha,whatsapp,,,English
Everyone are asked to submit the feedback from in the below form,whatsapp,,,English
peak of unemployment,whatsapp,,,English
"Punda, nee msg panitu fast ah delete panita ana athukum replay panom la athu thanda peak of unemployment nu sonen",whatsapp,,,English
Manoj is in love but I can't prove it,whatsapp,,,English
Theriyum da Caller tune ketiya,whatsapp,,,Tanglish
Nithish,whatsapp,,,English
Ne tha tha da vijay ahh ommbura,whatsapp,,,English
Illa yathukku sir love song Caller tune vachinka,whatsapp,,,Tanglish
En love song committed tha kekanuma,whatsapp,,,English
Avan bjp supporter da,whatsapp,,,Tanglish
Sari da,whatsapp,,,Tanglish
#manojcommited,whatsapp,,,English
Ne enna vena solliko ennaku enna poda,whatsapp,,,Tanglish
I am not in hostel,whatsapp,,,English
Ama da ana avan kaeturukan,whatsapp,,,Tanglish
Name remove pandrathu pathi,whatsapp,,,English
Iruku da en junni,whatsapp,,,Tanglish
Deiii kena pundaingala yenna da aachu,whatsapp,,,Tanglish
"Na , thols lam varom heal panu",whatsapp,,,English
Christanavaney disturb seiyathey avana assault aaga enni vidatheyy,whatsapp,,,English
Holy shit😂,whatsapp,,,English
@⁨Clg Ahamed Meeran Dhanish⁩ intha 9 satan ah veliya thorathuga bhaii,whatsapp,,,English
@⁨Thols💫 Kuchi Naai⁩ yara da oopa ? Inga,whatsapp,,,Tanglish
Tami theriyum thane ?,whatsapp,,,English
Gotha ?,whatsapp,,,English
En da sonathey thirupi thirupi solitu iruka thevadiya satan,whatsapp,,,English
Yedhaavudhu nalla kodiya paathu neeye thongiko onta dhaan punda Iruku,whatsapp,,,Tanglish
Paathiya onnoda experience eh sollura,whatsapp,,,English
Na oomba maaten da una maari thevadiya tha vanthu oombu,whatsapp,,,Tanglish
"Dei electric eel ah un pundai la vitukoo, shock ley iru da punda manaveyy",whatsapp,,,Tanglish
"Unaku rubber kunju kuda ila rubber pundaiya vachitu , thevadiya thanama road la suthitu iruka thane da , puluu kita poi oole vaangu",whatsapp,,,Tanglish
"Naai kita ole vaagitu , naai kudi la maatikita thane da nee ? En da naai kuda thevadiya thanam panuraaa",whatsapp,,,Tanglish
"Thevadiya un pundai la zoom ae iruku da , un pundai la vaai vaikatha animals ae ila da thevaidya munda , high class munda nu ranking la iruka nee",whatsapp,,,Tanglish
Deii vera yosichu sollu naa solradhaiyey solra paaru,whatsapp,,,Tanglish
"Un pundaiya paaru da ole vaagi vaagi , ketu poiruchu vera pundaiya paaru. Una oothu oothu aii pora pipeline lam un punda la connect aagi athu la aii varuthu nu customer solraga",whatsapp,,,Tanglish
Oru manidhanaaala yepudii ipdi animals kitta oolu vaanga mudiyum nu nirubichuta da kena punda,whatsapp,,,Tanglish
"Nirumi punda , un pundai la thanda aids corona lam vanthuchuu. Chinsese kaaran kita ole vaangituu enga da thediya maari pesitu irukaa",whatsapp,,,Tanglish
Dei pulu kita ole vaaagitu ena da siripu da thevaidya ?,whatsapp,,,Tanglish
Nee dhaan china la irukura vavaal pool yellaathaiyum sappitu Inga vandhu yellaa poolaiyum sappii corona parappi vittuta da punda,whatsapp,,,Tanglish
Nee sonthama yosika time tharenn,whatsapp,,,English
Aprm ?,whatsapp,,,English
Vera yenna vela 😂,whatsapp,,,Tanglish
Evlo venum solu romba oombatha pouthum di munda … mudiyala da en suni ah romba kadikura,whatsapp,,,Tanglish
Tharen,whatsapp,,,English
Evlo neram da ippudi oombitu irupa ?,whatsapp,,,Tanglish
"Dei pulu munda , vaai kuthi lam kilichiruven da suni romba oombitu irkathaaaaa",whatsapp,,,Tanglish
Romba oombatha da pothum poi vera pool ah kadichitu iruuuu,whatsapp,,,Tanglish
Nee Vera animal kooda poi paduuu,whatsapp,,,Tanglish
Dei pothum da 🤣 romba nerama elar poolaiyum oombitey iruka pothum da,whatsapp,,,Tanglish
"Una pool ae ila da punda, pulu mundaaa en di unachu susu aee suthu la irudhu thane varumm",whatsapp,,,Tanglish
Potta naai periods ooda irukum athu kundi ah sappu po inga romba neram en pool ah oombatha,whatsapp,,,Tanglish
Indha paaru again again maathi solra paaru onaku punda dhaan Iruku sunni illa onnoda periya pundaila naa othutu iruken andha illusion la onaku sunni Iruka maari theriyudhu,whatsapp,,,Tanglish
"Illusion la nee thanda iruka ? Pool ah sappu da na, sutha sapitu pee ah urinjitu iruka da thevadiya pundaaa, semi soli pee venum nu ketu en sutha sapitu irukaaa",whatsapp,,,Tanglish
Yenna pannadhaan da onnoda pundai satisfaction aagum,whatsapp,,,Tanglish
Illusion create aaga arambichuduchu again😂,whatsapp,,,English
En pee ah thinu seri airum,whatsapp,,,English
Jeffin na suni ilatha motta munda nu oorukey theriyum da thevadiyaa,whatsapp,,,Tanglish
Nee oru ooru ootha baadu nu oorukey theriyum naa sollita Iruka mudiyum adhellaam😂,whatsapp,,,Tanglish
"Ama da , unaku pool iruku nu elaraiyum namba vachi romba nerama oombitu iruka",whatsapp,,,Tanglish
Sili munda da nee poda poi oormaa aalu,whatsapp,,,Tanglish
Evlo da neram unaku pool iruku nu aaluguva 🥲,whatsapp,,,Tanglish
Cheri da unaku pool iruku da poda,whatsapp,,,Tanglish
Adhuvum chameleon kittalaam poi pudhusu pudhusaana color la dhaan yennoda pundaila oolu vaanganum nu vaanguriyaamey daa,whatsapp,,,Tanglish
"Cheri cheri da aalatha , innoru naal nerla vanthu oombiko",whatsapp,,,Tanglish
Seri seri nee Adutha time pudhusa yedhaavudhu kandupiduchu vandhu sollu😂,whatsapp,,,Tanglish
Thevadiya enaku vela iruku da nee poi elaru kitiyum ole vaangitu iru da,whatsapp,,,Tanglish
Po po better luck next time 😜😜😁,whatsapp,,,English
Nee ole vaangi kuda pass airuva da cuz nee top class munda da,whatsapp,,,Tanglish
Area la neriya potta naai ku periods irukam.. jeffin vaai tha athuku lam stayfree whisper ahm 🤣.. poi nala uri da munda <This message was edited>,whatsapp,,,Tanglish
shivraj pathi pesathinga da inga than irukan,whatsapp,,,Tanglish
@⁨Nithish Ksr⁩,whatsapp,,,English
Avan pool ah pudichi,whatsapp,,,English
That 400,whatsapp,,,English
Athu tha mall tha pandra nu sollita machi 😂,whatsapp,,,English
Ne avala patho <This message was edited>,whatsapp,,,English
Na clean shave la iruken,whatsapp,,,English
Machi yaravathu python mid level project vechuruntha send pannuga da,whatsapp,,,Tanglish
Queen bathing Area,whatsapp,,,English
Enga da irukinga ?,whatsapp,,,Tanglish
Only 50,whatsapp,,,English
Season,whatsapp,,,English
Ila da yaaro vanguna maari nabagam...aana yaarunu therila,whatsapp,,,Tanglish
Theriyum da,whatsapp,,,Tanglish
ஆடளும் பாடலும் நீகழ்ச்சி,whatsapp,,,Tamil
Enda samanthamae illama enna adikuringa ?,whatsapp,,,Tanglish
Caption: Girls only know why they avoid auto rides,whatsapp,,,English
User not found,whatsapp,,,English
Mathi send panni tholanjuran,whatsapp,,,English
Machi epdi iruku,whatsapp,,,Tanglish
1st half ultimate,whatsapp,,,English
Right uh,whatsapp,,,English
Nee over hyped ah poirukka twitter la reviews lam 4/4.5 irukku da,whatsapp,,,Tanglish
4/5 tharalam,whatsapp,,,English
2nd half emotional driven but dragged,whatsapp,,,English
Rightu,whatsapp,,,English
Santhosh-Man,whatsapp,,,English
Gmail account <This message was edited>,whatsapp,,,English
Onnu illa macchi plagiarism check pannathu Muthu danish RaGaVaN keata antha grpla potea,whatsapp,,,English
Intha padam ae super ah iruku da,whatsapp,,,Tanglish
Dei mothama leak panranunga da,whatsapp,,,Tanglish
"Cameo,climax,intro, Thalapathy kacheri song uh",whatsapp,,,English
Antha leak pannuruvan ta motha padam um irukku da,whatsapp,,,Tanglish
Serious ah da avan touch pannuran full runtime um theriyuthu,whatsapp,,,Tanglish
Better than beast,whatsapp,,,English
Avlo thaan da punda tamilmv la irukku😂,whatsapp,,,Tanglish
Aana avanta full padam um irukku da machi,whatsapp,,,Tanglish
Bro im watching it on theatre,whatsapp,,,English
Harbour blast panurathu tha katha,whatsapp,,,English
Nithish thooku poda poran,whatsapp,,,English
Machi varumbothu download pannitu vada,whatsapp,,,English
Yan poola ombhatha,whatsapp,,,English
Downloading,whatsapp,,,English
Avlo tha,whatsapp,,,English
Downloaded 96%,whatsapp,,,English
Morning 8 mani show,whatsapp,,,English
Nalla than da eruku,whatsapp,,,Tanglish
DMK thayoli,whatsapp,,,English
Machiii vijay fans ajith fans lam aduthu da first ipdi leak aagirukurathu thappu nu ungalukeyy therium la da so itha support pandratha vidunga da yaarukkum share pannadhinga😊 <This message was edited>,whatsapp,,,Tanglish
Dei leak pannadhe avanunga thaan da,whatsapp,,,Tanglish
Enga aaley campa kudi themba iru nu solitu irukan nee vera,whatsapp,,,Tanglish
Joke of this year 👍,whatsapp,,,English
Dei hd clip leak aairukku da,whatsapp,,,Tanglish
Ithalam thalaivaa release apove paathaachi,whatsapp,,,English
I think you guys respect the effort of creators but….👍🏻,whatsapp,,,English
Atha thanda solren,whatsapp,,,English
1st half finish,whatsapp,,,English
Pooja va poi aunty nu solitan da 🥲,whatsapp,,,Tanglish
Illa nethu konjam pathen,whatsapp,,,Tanglish
Dei link lam thookitanunga da,whatsapp,,,Tanglish
Nallathu,whatsapp,,,English
Respect 💯🫂,whatsapp,,,English
En da moan pandra nalla pesu da lavade,whatsapp,,,Tanglish
Inthada thols uh,whatsapp,,,English
Manasa thethikada machi election nambuluthu thaan 🇪🇸,whatsapp,,,English
Illa da padam nalla illa athan paakala,whatsapp,,,Tanglish
Don't share anymore,whatsapp,,,English
Bro link ketanga bro,whatsapp,,,Tanglish
Dei anilgala unga anna thanda padam ae leak panathu puritha ilaiya ??,whatsapp,,,Tanglish
Add members kudutha contact dhan varuthu,whatsapp,,,English
Enna da ithu,whatsapp,,,Tanglish
athu oru flop movie atha vechi ne matikatha 🤣,whatsapp,,,English
that is not rerelease,whatsapp,,,English
Antha record onga AK vala break pannave mutiyathu,whatsapp,,,English
Athu nalla padam da😂,whatsapp,,,Tanglish
First 300crs movie thanga,whatsapp,,,English
Collection record sollra,whatsapp,,,English
"oh unga pundanayagan , olenayagan , peenayagan, kunjunayagan, kanjinayagan mass da",whatsapp,,,Tanglish
Hollywood remake thaana,whatsapp,,,English
machi antha aunty scence irrukala <This message was edited>,whatsapp,,,English
"lokesh , nelson , atlee cameo mass tha",whatsapp,,,English
Mankatha maari vera yaathachi padam irukka AK ta,whatsapp,,,Tanglish
ne enna pesanalum movie nalla illa avolo tha,whatsapp,,,Tanglish
antha last dance irrukala athula vathi coming varuthu 😂,whatsapp,,,English
You will arrest bye,whatsapp,,,English
Gbu full and full copy thaaa own ahh athula story ehh illa vitta adutha epstein ehh avaruthaan dii sollama poningaey athuku varaikum sandhosam,whatsapp,,,English
Respect all the hardworkers every scene is a dream why bro🙏,whatsapp,,,Tanglish
Ama da unga annan tha enga thala Suni ah oombuna video tha,whatsapp,,,Tanglish
Dont let them bark,whatsapp,,,English
Ole them,whatsapp,,,English
First fans ku respect thara sollu AK va,whatsapp,,,English
Deii AK ku director ehh illa da <This message was edited>,whatsapp,,,Tanglish
Yapatiyum movie flop tha,whatsapp,,,English
Yaaru da sonna 😂😂😂 veliya sollidatha da kumbal la adichuruvanga😂😂😂,whatsapp,,,Tanglish
Unna alaporathu vijay tha,whatsapp,,,English
Vijay tittle card>>> AK whole movie's,whatsapp,,,English
Anna cm anathum AK ku remote car irukku,whatsapp,,,Tanglish
don't worry,whatsapp,,,English
Punda oorukeyy therium 😂😂😂,whatsapp,,,English
Ava yappa field la iruntha,whatsapp,,,English
Mankatha orey movie tha,whatsapp,,,English
Punda apdiyee maathitan solla vandhatha ponit illa nu…ajith ku vijay iruka peak ku poganum nu romba aasa nu avureyy solirukaru,whatsapp,,,Tanglish
Yanakkum time illa solla,whatsapp,,,Tanglish
Sari vidu kasta padatha AK onum pudungaka nu ungalukeyy therium sari vidunga da alugathinga,whatsapp,,,Tanglish
"Our main goal is Secular Social Justice,Political Transformation,Administrative & Social Reforms,Pirapukkum Ella Uyirkkum",whatsapp,,,English
Corruption iruku but development tu iruku bcs they have experience and connection only state in india to get double digit gdp growths,whatsapp,,,Tanglish
This also vijay content tha,whatsapp,,,English
How is tvk going to bring development atha pathi engayume peslaye nothing about foreign investments and industry subsidies,whatsapp,,,English
"Ama da enaku aidmk dmk elam friends tha irukaga , ana inga pesurathu tvk aka vijay",whatsapp,,,Tanglish
Sad to hear,whatsapp,,,English
Ama da anna gangbang,whatsapp,,,Tanglish
Guys Nithish going reach his mutu limit for today,whatsapp,,,English
#westandwithvijay,whatsapp,,,English
Points yoshichiya,whatsapp,,,English
Unna mari enngaluku work illaya <This message was edited>,whatsapp,,,English
Enga side iruku nan biased ah sollirkalam,whatsapp,,,Tanglish
Maranthutan avanga antha ooru majority caste aama kelvipatten,whatsapp,,,Tanglish
I was expecting a muttu,whatsapp,,,English
tvk tha,whatsapp,,,English
Na oru thondana answer sollra,whatsapp,,,English
Machi padame 7 gb pudichiruchu da storage illayam <This message was edited>,whatsapp,,,English
Caste ta appo madhurai yaaru covaiku yaaru irukka ethula,whatsapp,,,Tanglish
Nan ketathu antha constituency,whatsapp,,,English
Caste vote ah vidunga da tvk voda first objective eh fans vote thaan da,whatsapp,,,Tanglish
Minors,whatsapp,,,English
It's my opinion,whatsapp,,,English
Elarumey athey maari opinion ah tha solraga ney,whatsapp,,,English
Dosa with sambar and boiled egg machi vaa sapduvom,whatsapp,,,English
Why da evlo sanda,whatsapp,,,Tanglish
Both side um opinion kaekanum da nithish,whatsapp,,,English
On side mattum tha crct tu solla kudathu,whatsapp,,,English
Yan side yaarum illa,whatsapp,,,Tanglish
Ne crcta na data tha na onside nikuraen <This message was edited>,whatsapp,,,English
Ithu yanna customer care ra? Satisfy thara,whatsapp,,,English
Logic illama pesatha bro,whatsapp,,,Tanglish
Danish don't argue with him,whatsapp,,,English
Na sirikura unnaku enna bro,whatsapp,,,Tanglish
Bro don't spread hate,whatsapp,,,English
This is not hate,whatsapp,,,English
Seri da ne toxic ahh irru,whatsapp,,,Tanglish
Nanu summ download panni paathe full padam,whatsapp,,,English
Enaku vote eh illa da,whatsapp,,,Tanglish
One time watch??,whatsapp,,,English
Seri piracy vendam,whatsapp,,,Tanglish
It is promised to us in 3000 years✡️,whatsapp,,,English
nithish tha case poduvan nama mela,whatsapp,,,English
500cr box office collection waiting,whatsapp,,,English
Straight from the source🥀,whatsapp,,,English
Janayagan cd enga mapla ?,whatsapp,,,Tanglish
Vettri ❌ தோல்வி ✅,whatsapp,,,Tamil
@⁨Clg Ahamed Meeran Dhanish⁩ ennanga,whatsapp,,,English
வாவ்,whatsapp,,,Tamil
Enda punda 500 kodi enga 100 million dollars enga da,whatsapp,,,Tanglish
Ithu konjam fill panuga da,whatsapp,,,Tanglish
Enna da ithu 😂,whatsapp,,,Tanglish
தெரிந்தோ... தெரியாமலோ..... இந்த ஆண்டு.... உங்கள் மனது புண்படும்படி பதிவிட்டு இருந்தாலோ பேசி இருந்தாலோ.... அது ஒரு பெரிய விசயமே இல்லை ... ஏனெனில்.... உங்க வீட்டு காலண்டர் மாறலாம்... நாட்கள் மாறலாம்... நேரங்கள் மாறலாம்... சாப்பாடு மாறலாம்... தட்பவெப்ப நிலை மாறலாம்.... ஆட்சிகள் மாறலாம்.... டிவி சேனல்கள் மாறலாம்.... நான் மாற மாட்டேன்... ஏனெனில்.... அதைத்தான் 2026 லும் செய்யப்போகிறேன்........ நட்பும் அன்பும் தொடரட்டும்... 🙏,telegram,,,Tamil
