text,source,label,severity,language,text_clean
ஓரளவிற்கு மேல்தான்,youtube,,,Tamil,ஓரளவிற்கு மேல்தான்
Ivanga ipadi panratha thappu than but Nan onnu kekuren ippo kothanar sitthal la irukaravanga first ipadithan panitu thiranjakala athu mattum illa paduchutu velaiye kedaika matinguthu ippo kathanar sitthal nalla than sambathikuranga apran veetla pathu kalyanam Pani vacha ethanaiyo husband olunga velaiku pogama kudchutu thiriyiranunga apdi patta vangala kalyanam pana pombalaingala intha Vella pakuranga summa pesanum nu pesakoodathu😡,youtube,,,Tanglish,ivanga ipadi panratha thappu nan onnu kekuren ippo kothanar sitthal irukaravanga first ipadithan panitu thiranjakala athu mattum illa paduchutu velaiye kedaika matinguthu ippo kathanar sitthal nalla sambathikuranga apran veetla pathu kalyanam pani vacha ethanaiyo husband olunga velaiku pogama kudchutu thiriyiranunga apdi patta vangala kalyanam pana pombalaingala intha vella pakuranga summa pesanum pesakoodathu
​ @AruljothiSanthosam super bro,youtube,,,English,aruljothisanthosam super bro
வீட்ல பாத்தா சத்தம் போடுவாங்கனு பயம் இல்லையா?,youtube,,,Tamil,வீட்ல பாத்தா சத்தம் போடுவாங்கனு பயம் இல்லையா?
Iyoo venama ma romba seripu seripu pa varuthu enna laa mudilaa pa appram romba sirichaa....😂😂😂... vitla adivanguvaa😂😂,youtube,,,Tanglish,iyoo venama romba seripu seripu varuthu enna laa mudilaa appram romba sirichaa vitla adivanguvaa
0:24 intha ponnu en kuuda padicha ponutha... 10th fail aaitu pass pani vanthu theripium fail aaga poora🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️... School ah avaluku tc kuduthum ava vaalu aranthu poogala Yen class la avala sori muunji nu kuupuvaanga... But ithu maari illa neengala nalla padikanum..👍🏻,youtube,,,Tanglish,24 intha ponnu en kuuda padicha ponutha 10th fail aaitu pass pani vanthu theripium fail aaga poora school avaluku tc kuduthum ava vaalu aranthu poogala yen class avala sori muunji kuupuvaanga ithu maari illa neengala nalla padikanum
இதுங்கள பெத்ததுக்களை கட்டி போட்டு வெளுக்கணும் வளர்ப்பு சரி இல்ல,youtube,,,Tamil,இதுங்கள பெத்ததுக்களை கட்டி போட்டு வெளுக்கணும் வளர்ப்பு சரி இல்ல
சூப்பர் வீடியோ பா நாய் காதல் செம 👌👌👌👌👌👌👌,youtube,,,Tamil,சூப்பர் வீடியோ பா நாய் காதல் செம
Enkku 36 age aachu. Single very sad - Franklin old town Vellore,youtube,,,English,enkku 36 age aachu single sad franklin old town vellore
பெற்றோர் கவனத்திற்கு......,youtube,,,Tamil,பெற்றோர் கவனத்திற்கு......
😂😂😂😂 தரமான எடிட்டிங் 😂😂😂,youtube,,,Tamil,தரமான எடிட்டிங்
Nee thaya editor uh🎉😂❤,youtube,,,English,nee thaya editor uh
ப்ரோ ரோல் வீடியோ நல்லா இருக்கு ஆனா அந்த இடையில சிரிக்கிறான் பாத்தியா ஒருத்தன் அந்த சீனை எடுத்துடு பத்திக்கிட்டு வருது,youtube,,,Tamil,ப்ரோ ரோல் வீடியோ நல்லா இருக்கு ஆனா அந்த இடையில சிரிக்கிறான் பாத்தியா ஒருத்தன் அந்த சீனை எடுத்துடு பத்திக்கிட்டு வருது
😂😂😂😂😂😂😂😂😂 vera level anna,youtube,,,Tanglish,vera level
இதுங்கள சோல்லி என்ன பன்ன இவங்க அப்ப அம்மா ல சோல்லனும்😡😡😡,youtube,,,Tamil,இதுங்கள சோல்லி என்ன பன்ன இவங்க அப்ப அம்மா ல சோல்லனும்
Vera level 🔥😂❤,youtube,,,Tanglish,vera level
Enne um inde 90k kku seidu kolluggada nanbarggrlla podusa tan pa phone eduttan vandu patta ippediy ellam irukka ippo tan purindu 2k lla irundallum valluradu 90k pole tan😒😒😒,youtube,,,Tanglish,enne um inde 90k kku seidu kolluggada nanbarggrlla podusa tan phone eduttan vandu patta ippediy ellam irukka ippo tan purindu 2k lla irundallum valluradu 90k pole tan
Vera level 😂😅😊,youtube,,,Tanglish,vera level
அனைவரையும் POCSO சட்டத்தின் கீழ் வழக்கு பதிவு செய்து சிறையில் அடைக்க வேண்டும்,youtube,,,Tamil,அனைவரையும் POCSO சட்டத்தின் கீழ் வழக்கு பதிவு செய்து சிறையில் அடைக்க வேண்டும்
uncontrolled laughing 😂😂😂😂😂😂😂😂😂😂😂😂😂😂 super ma,youtube,,,English,uncontrolled laughing super
பாவம் பா இந்த 90s kids எல்லாம் ரொம்ப மனசு வருத்தமா இருக்கு 😢 ஏன்னா நானும் 90சரி kid தான் 😢 இத எல்லாம் பாத்தா ஏன் மனசாட்சி ஏங்கிட்ட ஏன்டா ஒரு மொலம் கயிறு இருந்தா போய் தூங்கு ல தொங்கு டா ன்னு சொல்லுது இவங்க தான் நம் நாட்டின் எதிர்கால தூன்கள் ஒத்த சய்.... செருப்புகல்,youtube,,,Tamil,பாவம் பா இந்த 90s kids எல்லாம் ரொம்ப மனசு வருத்தமா இருக்கு ஏன்னா நானும் 90சரி kid தான் இத எல்லாம் பாத்தா ஏன் மனசாட்சி ஏங்கிட்ட ஏன்டா ஒரு மொலம் கயிறு இருந்தா போய் தூங்கு ல தொங்கு டா ன்னு சொல்லுது இவங்க தான் நம் நாட்டின் எதிர்கால தூன்கள் ஒத்த சய்.... செருப்புகல்
Apo school poradhu reels podadhan😂 Naamalam interval sapada early morning friends oh da onna sapudave povomeda😂,youtube,,,English,apo school poradhu reels podadhan naamalam interval sapada early morning friends oh da onna sapudave povomeda
சரியான தலைப்பு,youtube,,,Tamil,சரியான தலைப்பு
Soriyar model youth 😂😂😂😂😂😂,youtube,,,English,soriyar model youth
10நிமிஷம் தல் லி படுதீர்க்கலாம்,youtube,,,Tamil,10நிமிஷம் தல் லி படுதீர்க்கலாம்
பாவம் டா கடவுள்க்கே சொதனை,youtube,,,Tamil,பாவம் டா கடவுள்க்கே சொதனை
Bro Darshan😂😂😂,youtube,,,English,bro darshan
"friend's, Amma, appa varamaatanga anaa ungalukku bestie vandhuruvana onnu mattum purijikkonga that the parents ,friends, teachers are the good and pure souls in this world namma eppovum nalla irukkanumnu nenaikkaravanga dhan avanga onnum ungalukku bestie ellathayum seiyalaye",youtube,,,Tanglish,friend varamaatanga anaa ungalukku bestie vandhuruvana onnu mattum purijikkonga parents friends teachers good pure souls world namma eppovum nalla irukkanumnu nenaikkaravanga dhan avanga onnum ungalukku bestie ellathayum seiyalaye
நாய்க் காதல் ❤,youtube,,,Tamil,நாய்க் காதல்
4:36 2.9M likes 😑😑 I can't digest this🤐🤐🫨🫨,youtube,,,English,36 9m likes digest
ஐயோ கலக்குறீங்களே 😍,youtube,,,Tamil,ஐயோ கலக்குறீங்களே
நாடு நாசமா போகும்,youtube,,,Tamil,நாடு நாசமா போகும்
0:12 1:12 8:14 bro id solu bro intha couple odadhu Konjam reels podumothu per vara mari podu bro please 8:16,youtube,,,Tanglish,12 12 14 id solu intha couple odadhu konjam reels podumothu per vara mari podu please 16
Vera level 🔥🔥🔥,youtube,,,Tanglish,vera level
Ella period indhu iruku but mobile romba idha encourage pannudhu,youtube,,,Tanglish,ella period indhu iruku mobile romba idha encourage pannudhu
என் கட்ட Mela,youtube,,,Tamil,என் கட்ட Mela
Jodi illama opening la irundha ponnu en ku dhaa padikkura name Jenifer Yen bro troll pannala romba varuthama irukku😂,youtube,,,Tanglish,jodi illama opening irundha ponnu en ku dhaa padikkura name jenifer yen troll pannala romba varuthama irukku
போய் யூனிபார்ம் டிரெஸ் மாத்து எரும😮😮😮,youtube,,,Tamil,போய் யூனிபார்ம் டிரெஸ் மாத்து எரும
Tamil community super 👌,youtube,,,English,tamil community super
"Ituga amma appa la irukangala, ila konnutingala therila",youtube,,,Tanglish,ituga irukangala ila konnutingala therila
Vera level 😂😂😂 edit ❤❤❤,youtube,,,Tanglish,vera level edit
அந்த கடைசி ஜோடி பேரென்ன கொஞ்சம் சொல்லுங்க,youtube,,,Tamil,அந்த கடைசி ஜோடி பேரென்ன கொஞ்சம் சொல்லுங்க
😅😂😊what. Bro. Boy. Ok. Geal. To,youtube,,,English,bro boy ok geal
Bro kastama irrukku bro,youtube,,,Tanglish,kastama irrukku
Bro neenga first video poterkingla avanga I'd enna solringa,youtube,,,Tanglish,neenga first video poterkingla avanga enna solringa
En first lover s.subashini innaikku enga irukkaanganu theriyala ? Aana 2008 enna nambi Chennai ku vanthaanga. Veetla pirichittaanga.. ippo eanakku vera ponnoda marriage aahi 2 pen kulanthai age attend pannitaanga. Aanaal indrum avanga meethu eanakku madhippum mariyaathayum undu... This 90kids .... Oru naal night avanga enkooda odivanthappakooda avangala naan thodala???? This 90kids ..... Ippo?????? 1 minutes naasaamaa potchu naade. For example 2k kids..mathippu mariyaathaai vetkam ennavendre theriyaatha oru janthukkal,youtube,,,Tanglish,en first lover subashini innaikku enga irukkaanganu theriyala aana 2008 enna nambi chennai ku vanthaanga veetla pirichittaanga ippo eanakku vera ponnoda marriage aahi pen kulanthai age attend pannitaanga aanaal indrum avanga meethu eanakku madhippum mariyaathayum undu 90kids oru naal night avanga enkooda odivanthappakooda avangala naan thodala 90kids ippo minutes naasaamaa potchu naade example 2k kids mathippu mariyaathaai vetkam ennavendre theriyaatha oru janthukkal
Lost dialogue is related enna da valka edi 🤡,youtube,,,Tanglish,lost dialogue related enna valka edi
கமென்ட் என்ன வந்ததுனு கெட்ட வார்த்தையா போடுறியே....உன் குடும்ப பெண்களுக்கு அந்த வார்த்தையை எல்லாம் சொல்லி சந்தோசப்படு,youtube,,,Tamil,கமென்ட் என்ன வந்ததுனு கெட்ட வார்த்தையா போடுறியே....உன் குடும்ப பெண்களுக்கு அந்த வார்த்தையை எல்லாம் சொல்லி சந்தோசப்படு
😂 bro 1 st couple I'd enna??,youtube,,,Tanglish,st couple enna
8:07 avanga id sollu bro,youtube,,,Tanglish,07 avanga id sollu
Love பத்தி என்னடா நினைச்சீங்க ❤️❤️❤️,youtube,,,Tamil,Love பத்தி என்னடா நினைச்சீங்க
2k kids ku indha nelama thanga mudila innum 3k kids vandha enna aga podho 🙄😕,youtube,,,Tanglish,2k kids ku indha nelama thanga mudila innum 3k kids vandha enna aga podho
K d😊 girl s and boys,youtube,,,English,girl boys
Pavingala 30 vayasu akiduchu innum future a pathina payam irukku eppu da ipdi suthikittu irukinga kandravi en parents nenachi ippo sandosama irukku,youtube,,,Tanglish,pavingala 30 vayasu akiduchu innum future pathina payam irukku eppu ipdi suthikittu irukinga kandravi en parents nenachi ippo sandosama irukku
Aijajoo mudilla da saami But I am a SriLankan and I am 15 but Innai varaikkum enkidda Instagram/ TikTok ethuvume illa 😅😂 Aijajoo That Aikiri nanthini pathathume Ennoda reaction antha Aalu sirikkira maari tha irunthichu Bro 😂 Omg that poom poom madu kaaran 😂😂😂😂😂😂 and that Hoi Hoi Gay 😂,youtube,,,Tanglish,aijajoo mudilla saami srilankan 15 innai varaikkum enkidda instagram tiktok ethuvume illa aijajoo aikiri nanthini pathathume ennoda reaction antha aalu sirikkira maari tha irunthichu omg poom poom madu kaaran hoi hoi gay
"Anna Anni , Mama akka nu Comments pannitu Oru tharkuri Kootam Irukuthuga vera karumam....!",youtube,,,Tanglish,anni mama comments pannitu oru tharkuri kootam irukuthuga vera karumam
8:12 kindly tell their id bro,youtube,,,English,12 kindly tell id bro
They are thinking that it is a prestigious to them but according to it is a cringe,youtube,,,English,thinking prestigious according cringe
Thanks 😅,youtube,,,English,thanks
சில்வர் மண்டையன்,youtube,,,Tamil,சில்வர் மண்டையன்
இதுக 2000 ல பிறந்ததுக இல்ல.2010 பிறந்ததுக,youtube,,,Tamil,இதுக 2000 ல பிறந்ததுக இல்ல.2010 பிறந்ததுக
Kutty kujaan id name please please please please please please please please please please please please please please please 😊😊😊😊😊😊,youtube,,,English,kutty kujaan id name please please please please please please please please please please please please please please please
Ipolam periya pasangala Vida chinna pasangala patha than payama iruku😮 I am a new mother enaku girl baby 😢avala epadi intha societyla pathukapa valaka poranu rompa payama iruku 😢,youtube,,,Tanglish,ipolam periya pasangala vida chinna pasangala patha payama iruku new mother enaku girl baby avala epadi intha societyla pathukapa valaka poranu rompa payama iruku
Konjam uniform kalatitu vera dress la pannuga pa government scl pera kedukathinga da 😮,youtube,,,Tanglish,konjam uniform kalatitu vera dress pannuga government scl pera kedukathinga
4:26 ofc it's cringy but the message she was trying to communicate wasn't <3,youtube,,,English,26 ofc cringy message trying communicate
The Odia,youtube,,,English,odia
I am committed my girl friend Is 10th school topper in previous year Mark vanthu 485🎉 And my school toppper vanthu Naanthan mark vanthu 459🎉,youtube,,,Tanglish,committed girl friend 10th school topper previous year mark vanthu 485 school toppper vanthu naanthan mark vanthu 459
Naa kuda think panna .... Future laa road cleaning ku la yaarum vara maatnaga atha work la yaaru panna poranu.. ana idha video va patha future la mokkavasi tharkuringa ella atha work ku tha prepare aguranga nuu😂😂😂😂😂,youtube,,,Tanglish,naa kuda think panna future laa road cleaning ku yaarum vara maatnaga atha work yaaru panna poranu ana idha video patha future mokkavasi tharkuringa ella atha work ku tha prepare aguranga nuu
Even though they are behaving like that... It's not ok to show there face and portrait them with indecent words... They are childrens... As a society we are also the reason for their indiscipline behaviour... We should start it from our home... By teach our childrens....,youtube,,,English,even though behaving like ok show face portrait indecent words childrens society also reason indiscipline behaviour start home teach childrens
100% correct 👍🏻,youtube,,,English,100 correct
Appadi neegallam sonna sari kalyanam agi pondati kuda sanda poodama ethana peru irukkinga this the age of attraction ellarukkum varum but I know this is too much Naa ethavathu thappa pesi iruntha Brothers and sisters sorry,youtube,,,English,appadi neegallam sonna sari kalyanam agi pondati kuda sanda poodama ethana peru irukkinga age attraction ellarukkum varum know much naa ethavathu thappa pesi iruntha brothers sisters sorry
Romba romba worst 🤦🤦🤦,youtube,,,Tanglish,romba romba worst
"ஒன்னுமில்லாமே, எதுவும் செய்யாமே இருக்கிறது க்கு 🤧 இதுக பன்றது எவ்வளவோ தேவைல",youtube,,,Tamil,"ஒன்னுமில்லாமே, எதுவும் செய்யாமே இருக்கிறது க்கு இதுக பன்றது எவ்வளவோ தேவைல"
வருங்கால சித்தாள் கொத்தனார்,youtube,,,Tamil,வருங்கால சித்தாள் கொத்தனார்
Y you target only govt school students... Private school students also did the same...,youtube,,,English,target govt school students private school students also
Congratulations Government School Students And Teachers 🎉😂,youtube,,,English,congratulations government school students teachers
8:08 யூடியூப் மூலமாக அவன் மீது போக்ஸோ குற்றச்சாட்டு சாடலாமா?,youtube,,,Tamil,8:08 யூடியூப் மூலமாக அவன் மீது போக்ஸோ குற்றச்சாட்டு சாடலாமா?
7. 56 channel name what,youtube,,,English,56 channel name
Saniyan ga school uniform potu reels panudhunga,youtube,,,English,saniyan ga school uniform potu reels panudhunga
@rohinisampath 90s kids ah 🤩 aiyo very happy to meet you 🤩 epdinga epdinga epdi inum 90s single ah irukeenga 🤩 endha oorunga neenga rohini 🍀,youtube,,,Tanglish,rohinisampath 90s kids happy meet epdinga epdinga epdi inum 90s single irukeenga endha oorunga neenga rohini
Id please,youtube,,,English,id please
Acidity form airuchu da beer adichi eno kudichi vaanthi eduthutu iruken naneyy😭,whatsapp,,,Tanglish,acidity form airuchu beer adichi eno kudichi vaanthi eduthutu iruken naneyy
Next week la irunthu DSA,whatsapp,,,English,next week la irunthu dsa
Aprm next week la company vanthurum ah,whatsapp,,,English,aprm next week la company vanthurum ah
Thevidiya clg da ithu,whatsapp,,,English,thevidiya clg da ithu
"Pesama Inga AIDS eduthathuku vera clg IT,CSE eduthurukalam",whatsapp,,,Tanglish,pesama inga aids eduthathuku vera clg cse eduthurukalam
Karpagam college da avan,whatsapp,,,Tanglish,karpagam college avan
Athu Coimbatore ksr version,whatsapp,,,English,athu coimbatore ksr version
Paravala but rmb ah theory ah poguthu,whatsapp,,,English,paravala rmb ah theory ah poguthu
Dei na goa la thani ae kudikama thanni matum thanda potutu iruken,whatsapp,,,Tanglish,goa thani ae kudikama thanni matum thanda potutu iruken
Club la poi item kuda pesitu iruden da,whatsapp,,,Tanglish,club poi item kuda pesitu iruden
Athoda backstory solitu irudhuchu,whatsapp,,,English,athoda backstory solitu irudhuchu
"Athu 10 years ah inga tha irukam northeast assam kaari, avagaley tha neriya pera attract pani podanum ahm, apo tha club la irudhu kaasu varum athu ithu mu solitu irudhuchu",whatsapp,,,Tanglish,athu 10 years inga tha irukam northeast assam kaari avagaley tha neriya pera attract pani podanum ahm apo tha club irudhu kaasu varum athu ithu mu solitu irudhuchu
Dei bike la follow pani item venuma sir nu kekuraga da,whatsapp,,,Tanglish,bike follow pani item venuma sir kekuraga
Avan voice ley kekuthu da,whatsapp,,,Tanglish,avan voice ley kekuthu
Nithish alter ego,whatsapp,,,English,nithish alter ego
Really Boring da,whatsapp,,,English,really boring da
Ena da mapla depression ah,whatsapp,,,Tanglish,ena mapla depression
Bala in kailash <This message was edited>,whatsapp,,,English,bala kailash message edited
comedy bro,whatsapp,,,English,comedy bro
Dei thambi,whatsapp,,,English,dei thambi
Ellarum veliya vaanga da,whatsapp,,,Tanglish,ellarum veliya vaanga
Vanthu en sunni ah oombu da Ooty mundaa,whatsapp,,,Tanglish,vanthu en sunni oombu ooty mundaa
Such a bitch bala,whatsapp,,,English,bitch bala
Thevidiya bala oomba kuda laaki illa da nee thondi ketha,whatsapp,,,Tanglish,thevidiya bala oomba kuda laaki illa nee thondi ketha
Dei 50 anupuga da,whatsapp,,,Tanglish,50 anupuga
Evanda mathan phonela irundu message panrathu 🤣,whatsapp,,,English,evanda mathan phonela irundu message panrathu
"ஜெஃபின் ஓரினச்சேர்க்கையாளன்"" என்பதை தமிழில் ""ஜெஃபின் ஒரு பால் ஈர்ப்பாளர்"" அல்லது ""ஜெஃபினுக்கு ஆண்களின் மீது ஈர்ப்பு உண்டு"" என்று சொல்லலாம்.",whatsapp,,,Tamil,"ஜெஃபின் ஓரினச்சேர்க்கையாளன்"" என்பதை தமிழில் ""ஜெஃபின் ஒரு பால் ஈர்ப்பாளர்"" அல்லது ""ஜெஃபினுக்கு ஆண்களின் மீது ஈர்ப்பு உண்டு"" என்று சொல்லலாம்."
"தொல்ஸ் என்பது பெண்ணியம் ஆர்வமுள்ள ஒருவராகும், அவர் பெண்களுடன் காமம் செய்ய விரும்புகிறார். @⁨Thols💫 Kuchi Naai⁩",whatsapp,,,Tamil,"தொல்ஸ் என்பது பெண்ணியம் ஆர்வமுள்ள ஒருவராகும், அவர் பெண்களுடன் காமம் செய்ய விரும்புகிறார். @ Thols Kuchi Naai"
தொல்ஸ் என்பது எப்போது மண்ணில் தன் உருண்டையை உறிஞ்சிக்கொண்டே இருப்பவன்.,whatsapp,,,Tamil,தொல்ஸ் என்பது எப்போது மண்ணில் தன் உருண்டையை உறிஞ்சிக்கொண்டே இருப்பவன்.
தோல்ஸ் என்ற மனிதனுக்கு எப்போதும் தன்னுடைய குத்தியை வாயில் வைத்து உறிஞ்சுவதற்கான பழக்கம் உள்ளது.,whatsapp,,,Tamil,தோல்ஸ் என்ற மனிதனுக்கு எப்போதும் தன்னுடைய குத்தியை வாயில் வைத்து உறிஞ்சுவதற்கான பழக்கம் உள்ளது.
ஜெஃபின் ஆண்கள் மற்றும் பாலினத்தவர்களுடன் அதிகமாக உடலுறவு கொண்டார்.,whatsapp,,,Tamil,ஜெஃபின் ஆண்கள் மற்றும் பாலினத்தவர்களுடன் அதிகமாக உடலுறவு கொண்டார்.
"தோல்ஸ் அனைவருடனும் உடலுறவு கொள்ளும் ஒரு பையன், அவர் விலங்குகளுடன் கூட உடலுறவு கொள்கிறார், மேலும் அவர் குதிரை ஆண்குறியை உறிஞ்சுகிறார் <This message was edited>",whatsapp,,,Tamil,"தோல்ஸ் அனைவருடனும் உடலுறவு கொள்ளும் ஒரு பையன், அவர் விலங்குகளுடன் கூட உடலுறவு கொள்கிறார், மேலும் அவர் குதிரை ஆண்குறியை உறிஞ்சுகிறார் <This message was edited>"
"ஜெஃபின் ஆணல்ல, பெண்ணாகவும் திருநங்கையாகவும் கருதப்படுகிறார். அவன் பகுதி நேரமாக ஆணின் ஆண்குறியை உறிஞ்சுவதும், இரவில் விபச்சாரியாகத் தனது தொழிலைச் செய்வதும் ஆகும்.",whatsapp,,,Tamil,"ஜெஃபின் ஆணல்ல, பெண்ணாகவும் திருநங்கையாகவும் கருதப்படுகிறார். அவன் பகுதி நேரமாக ஆணின் ஆண்குறியை உறிஞ்சுவதும், இரவில் விபச்சாரியாகத் தனது தொழிலைச் செய்வதும் ஆகும்."
"நெடுஞ்சாலையில் டார்ச் விளக்கைப் பிடித்துக் கொண்டு லாரி ஓட்டுநர்களின் கண்களுக்கு நேராக டார்ச் விளக்கைக் காட்டி அவர்களை நிறுத்தி மயக்கி தங்கள் பிராத்தல் வீட்டிற்கு அழைத்துச் செல்லும் ஓரினச்சேர்க்கையாளர் தோல்ஸ் அவர்களுடன் ஒரு கடினமான குதவழி உடலுறவு கொள்கிறார், அவர்களுடன் ஒரு ஃபோர்ப்ளே செய்கிறார் வெறும் 2 ரூபாய் மட்டுமே",whatsapp,,,Tamil,"நெடுஞ்சாலையில் டார்ச் விளக்கைப் பிடித்துக் கொண்டு லாரி ஓட்டுநர்களின் கண்களுக்கு நேராக டார்ச் விளக்கைக் காட்டி அவர்களை நிறுத்தி மயக்கி தங்கள் பிராத்தல் வீட்டிற்கு அழைத்துச் செல்லும் ஓரினச்சேர்க்கையாளர் தோல்ஸ் அவர்களுடன் ஒரு கடினமான குதவழி உடலுறவு கொள்கிறார், அவர்களுடன் ஒரு ஃபோர்ப்ளே செய்கிறார் வெறும் 2 ரூபாய் மட்டுமே"
"ஜெஃபின் இலக்கிய ரீதியாக கேஃபின் என்று அழைக்கப்படுகிறார், அவர் ஓரின சேர்க்கை தொழிலில் பிரபலமானவர் மற்றும் அவரது உறிஞ்சும் திறமையால் நன்கு வளர்ந்தவர். ஒரு முறை கேஃபின் ஒரு நாயை மிகவும் கடினமாக உறிஞ்சியதால் அந்த நாய் உடனடியாக இறந்துவிட்டது.",whatsapp,,,Tamil,"ஜெஃபின் இலக்கிய ரீதியாக கேஃபின் என்று அழைக்கப்படுகிறார், அவர் ஓரின சேர்க்கை தொழிலில் பிரபலமானவர் மற்றும் அவரது உறிஞ்சும் திறமையால் நன்கு வளர்ந்தவர். ஒரு முறை கேஃபின் ஒரு நாயை மிகவும் கடினமாக உறிஞ்சியதால் அந்த நாய் உடனடியாக இறந்துவிட்டது."
"அவர் தனது தொழிலை இலவசமாகவும், அதை சேவையாகவும் செய்து வருகிறார், மேலும் LGBTQ தலைவரிடமிருந்து விருதைப் பெறுகிறார்.",whatsapp,,,Tamil,"அவர் தனது தொழிலை இலவசமாகவும், அதை சேவையாகவும் செய்து வருகிறார், மேலும் LGBTQ தலைவரிடமிருந்து விருதைப் பெறுகிறார்."
iruku da,whatsapp,,,Tanglish,iruku
"தோல்ஸ் ஒரு லெஸ்பியன் குதிரைகளுடன் உடலுறவு கொள்ள விரும்புகிறார் அவர் எப்போதும் தனது புண்டையில் 2 முதல் 3 குதிரைகள் டிக் வேண்டும் என்று விரும்பினார் அவள் பரந்த திறந்த புண்டையை வைத்திருக்கிறாள் ஒரு 5 குதிரை கூட அதன் டிக் அவளது புண்டைக்குள் அனுப்ப முடியும் அது எவ்வளவு பெரியது குதிரை போன்ற விலங்குகளுடன் உடலுறவு கொள்ள அவர் எப்போதும் ஏங்குகிறார், யானை, பல்லிகள் அவள் கூட பல்லிகளின் சிறிய டிக் உறிஞ்சும்",whatsapp,,,Tamil,"தோல்ஸ் ஒரு லெஸ்பியன் குதிரைகளுடன் உடலுறவு கொள்ள விரும்புகிறார் அவர் எப்போதும் தனது புண்டையில் 2 முதல் 3 குதிரைகள் டிக் வேண்டும் என்று விரும்பினார் அவள் பரந்த திறந்த புண்டையை வைத்திருக்கிறாள் ஒரு 5 குதிரை கூட அதன் டிக் அவளது புண்டைக்குள் அனுப்ப முடியும் அது எவ்வளவு பெரியது குதிரை போன்ற விலங்குகளுடன் உடலுறவு கொள்ள அவர் எப்போதும் ஏங்குகிறார், யானை, பல்லிகள் அவள் கூட பல்லிகளின் சிறிய டிக் உறிஞ்சும்"
"மார்கழி மாதத்தில் தினமும் இரவில் தெரு நாய்களுக்கு விளக்கு பிடிக்கிறார், ஒரு நாயைப் பிடித்தார்.",whatsapp,,,Tamil,"மார்கழி மாதத்தில் தினமும் இரவில் தெரு நாய்களுக்கு விளக்கு பிடிக்கிறார், ஒரு நாயைப் பிடித்தார்."
"இதுதான் கேஃபின் கதையின் கதைக்களம், நன்றி வணக்கம்.",whatsapp,,,Tamil,"இதுதான் கேஃபின் கதையின் கதைக்களம், நன்றி வணக்கம்."
"ஒவ்வொருவரின் ஆண்குறியையும், விலங்குகளையும், தனது சொந்த ஆண்குறியையும் உறிஞ்சும் தோல்ஸ் என்று அழைத்த நபரின் முடிவு இதுதான், இந்த கதை விரைவில் தொடரும், மீண்டும் தோல்ஸ் அனைவரின் ஆண்குறியையும் உறிஞ்சத் தொடங்கும், எனவே பகுதி 2 தொடரும் வரை காத்திருங்கள்..... <This message was edited>",whatsapp,,,Tamil,"ஒவ்வொருவரின் ஆண்குறியையும், விலங்குகளையும், தனது சொந்த ஆண்குறியையும் உறிஞ்சும் தோல்ஸ் என்று அழைத்த நபரின் முடிவு இதுதான், இந்த கதை விரைவில் தொடரும், மீண்டும் தோல்ஸ் அனைவரின் ஆண்குறியையும் உறிஞ்சத் தொடங்கும், எனவே பகுதி 2 தொடரும் வரை காத்திருங்கள்..... <This message was edited>"
"காத்திருக்கும் நேரத்தில், ஜெஃபின் என் குண்டியை வேகமாக உறிஞ்சப் போகிறான்.",whatsapp,,,Tamil,"காத்திருக்கும் நேரத்தில், ஜெஃபின் என் குண்டியை வேகமாக உறிஞ்சப் போகிறான்."
"இனிமேல் நீங்க அவரோட குண்டியை ஃபக் பண்ணலாம், அவர் எல்லாருக்கும் ரொம்ப தெளிவா காட்டுவார்",whatsapp,,,Tamil,"இனிமேல் நீங்க அவரோட குண்டியை ஃபக் பண்ணலாம், அவர் எல்லாருக்கும் ரொம்ப தெளிவா காட்டுவார்"
Saturday Leave and Sunday Leave da,whatsapp,,,English,saturday leave sunday leave da
Sorry machi,whatsapp,,,English,sorry machi
Dei yanna da ithu😀,whatsapp,,,Tanglish,yanna ithu
Dei avaney ena maari msg panitu irukan da,whatsapp,,,Tanglish,avaney ena maari msg panitu irukan
Theiryuthu antha punda pandra vela thaanu,whatsapp,,,English,theiryuthu antha punda pandra vela thaanu
Dei 60km ah 3hrs ooturaga da inga,whatsapp,,,Tanglish,60km 3hrs ooturaga inga
Aabid ah driver pakkathula poi ukara sollu da,whatsapp,,,Tanglish,aabid driver pakkathula poi ukara sollu
kasu kaila illa da,whatsapp,,,Tanglish,kasu kaila illa
vera ethavathu kelu da pathukalam,whatsapp,,,Tanglish,vera ethavathu kelu pathukalam
Ena da profile athu😂😂,whatsapp,,,English,ena da profile athu
Nee dhan asal thevidiyaaa kanadi irundha eduthu paaru nala theriyum,whatsapp,,,Tanglish,nee dhan asal thevidiyaaa kanadi irundha eduthu paaru nala theriyum
Enna yen camera laa unna theriyuma enna,whatsapp,,,Tanglish,enna yen camera laa unna theriyuma enna
Dei item kaara munda ena da loosi thevadiya maari pesitey iruka,whatsapp,,,Tanglish,item kaara munda ena loosi thevadiya maari pesitey iruka
Una epo da senji vida poraga nu theriyala,whatsapp,,,Tanglish,una epo senji vida poraga theriyala
Oomba vituruven unna <This message was edited>,whatsapp,,,English,oomba vituruven unna message edited
Neeye pussy munda,whatsapp,,,English,neeye pussy munda
Avan thanda unaku pool iruku nu nambi oombuvan da,whatsapp,,,Tanglish,avan thanda unaku pool iruku nambi oombuvan
