text,text_clean,language,source,label,severity
Ivanga ipadi panratha thappu than but Nan onnu kekuren ippo kothanar sitthal la irukaravanga first ipadithan panitu thiranjakala athu mattum illa paduchutu velaiye kedaika matinguthu ippo kathanar sitthal nalla than sambathikuranga apran veetla pathu kalyanam Pani vacha ethanaiyo husband olunga velaiku pogama kudchutu thiriyiranunga apdi patta vangala kalyanam pana pombalaingala intha Vella pakuranga summa pesanum nu pesakoodathu😡,ivanga ipadi panratha thappu nan onnu kekuren ippo kothanar sitthal irukaravanga first ipadithan panitu thiranjakala athu mattum illa paduchutu velaiye kedaika matinguthu ippo kathanar sitthal nalla sambathikuranga apran veetla pathu kalyanam pani vacha ethanaiyo husband olunga velaiku pogama kudchutu thiriyiranunga apdi patta vangala kalyanam pana pombalaingala intha vella pakuranga summa pesanum pesakoodathu,Tanglish,youtube,,
​ @AruljothiSanthosam super bro,aruljothisanthosam super bro,English,youtube,,
வீட்ல பாத்தா சத்தம் போடுவாங்கனு பயம் இல்லையா?,வீட்ல பாத்தா சத்தம் போடுவாங்கனு பயம் இல்லையா?,Tamil,youtube,,
Iyoo venama ma romba seripu seripu pa varuthu enna laa mudilaa pa appram romba sirichaa....😂😂😂... vitla adivanguvaa😂😂,iyoo venama romba seripu seripu varuthu enna laa mudilaa appram romba sirichaa vitla adivanguvaa,Tanglish,youtube,,
0:24 intha ponnu en kuuda padicha ponutha... 10th fail aaitu pass pani vanthu theripium fail aaga poora🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️... School ah avaluku tc kuduthum ava vaalu aranthu poogala Yen class la avala sori muunji nu kuupuvaanga... But ithu maari illa neengala nalla padikanum..👍🏻,24 intha ponnu en kuuda padicha ponutha 10th fail aaitu pass pani vanthu theripium fail aaga poora school avaluku tc kuduthum ava vaalu aranthu poogala yen class avala sori muunji kuupuvaanga ithu maari illa neengala nalla padikanum,Tanglish,youtube,,
இதுங்கள பெத்ததுக்களை கட்டி போட்டு வெளுக்கணும் வளர்ப்பு சரி இல்ல,இதுங்கள பெத்ததுக்களை கட்டி போட்டு வெளுக்கணும் வளர்ப்பு சரி இல்ல,Tamil,youtube,,
சூப்பர் வீடியோ பா நாய் காதல் செம 👌👌👌👌👌👌👌,சூப்பர் வீடியோ பா நாய் காதல் செம,Tamil,youtube,,
Enkku 36 age aachu. Single very sad - Franklin old town Vellore,enkku 36 age aachu single sad franklin old town vellore,English,youtube,,
பெற்றோர் கவனத்திற்கு......,பெற்றோர் கவனத்திற்கு......,Tamil,youtube,,
😂😂😂😂 தரமான எடிட்டிங் 😂😂😂,தரமான எடிட்டிங்,Tamil,youtube,,
Nee thaya editor uh🎉😂❤,nee thaya editor uh,English,youtube,,
ப்ரோ ரோல் வீடியோ நல்லா இருக்கு ஆனா அந்த இடையில சிரிக்கிறான் பாத்தியா ஒருத்தன் அந்த சீனை எடுத்துடு பத்திக்கிட்டு வருது,ப்ரோ ரோல் வீடியோ நல்லா இருக்கு ஆனா அந்த இடையில சிரிக்கிறான் பாத்தியா ஒருத்தன் அந்த சீனை எடுத்துடு பத்திக்கிட்டு வருது,Tamil,youtube,,
😂😂😂😂😂😂😂😂😂 vera level anna,vera level,Tanglish,youtube,,
இதுங்கள சோல்லி என்ன பன்ன இவங்க அப்ப அம்மா ல சோல்லனும்😡😡😡,இதுங்கள சோல்லி என்ன பன்ன இவங்க அப்ப அம்மா ல சோல்லனும்,Tamil,youtube,,
Vera level 🔥😂❤,vera level,Tanglish,youtube,,
Enne um inde 90k kku seidu kolluggada nanbarggrlla podusa tan pa phone eduttan vandu patta ippediy ellam irukka ippo tan purindu 2k lla irundallum valluradu 90k pole tan😒😒😒,enne um inde 90k kku seidu kolluggada nanbarggrlla podusa tan phone eduttan vandu patta ippediy ellam irukka ippo tan purindu 2k lla irundallum valluradu 90k pole tan,Tanglish,youtube,,
Vera level 😂😅😊,vera level,Tanglish,youtube,,
அனைவரையும் POCSO சட்டத்தின் கீழ் வழக்கு பதிவு செய்து சிறையில் அடைக்க வேண்டும்,அனைவரையும் POCSO சட்டத்தின் கீழ் வழக்கு பதிவு செய்து சிறையில் அடைக்க வேண்டும்,Tamil,youtube,,
uncontrolled laughing 😂😂😂😂😂😂😂😂😂😂😂😂😂😂 super ma,uncontrolled laughing super,English,youtube,,
பாவம் பா இந்த 90s kids எல்லாம் ரொம்ப மனசு வருத்தமா இருக்கு 😢 ஏன்னா நானும் 90சரி kid தான் 😢 இத எல்லாம் பாத்தா ஏன் மனசாட்சி ஏங்கிட்ட ஏன்டா ஒரு மொலம் கயிறு இருந்தா போய் தூங்கு ல தொங்கு டா ன்னு சொல்லுது இவங்க தான் நம் நாட்டின் எதிர்கால தூன்கள் ஒத்த சய்.... செருப்புகல்,பாவம் பா இந்த 90s kids எல்லாம் ரொம்ப மனசு வருத்தமா இருக்கு ஏன்னா நானும் 90சரி kid தான் இத எல்லாம் பாத்தா ஏன் மனசாட்சி ஏங்கிட்ட ஏன்டா ஒரு மொலம் கயிறு இருந்தா போய் தூங்கு ல தொங்கு டா ன்னு சொல்லுது இவங்க தான் நம் நாட்டின் எதிர்கால தூன்கள் ஒத்த சய்.... செருப்புகல்,Tamil,youtube,,
Apo school poradhu reels podadhan😂 Naamalam interval sapada early morning friends oh da onna sapudave povomeda😂,apo school poradhu reels podadhan naamalam interval sapada early morning friends oh da onna sapudave povomeda,English,youtube,,
சரியான தலைப்பு,சரியான தலைப்பு,Tamil,youtube,,
Soriyar model youth 😂😂😂😂😂😂,soriyar model youth,English,youtube,,
10நிமிஷம் தல் லி படுதீர்க்கலாம்,10நிமிஷம் தல் லி படுதீர்க்கலாம்,Tamil,youtube,,
பாவம் டா கடவுள்க்கே சொதனை,பாவம் டா கடவுள்க்கே சொதனை,Tamil,youtube,,
Bro Darshan😂😂😂,bro darshan,English,youtube,,
"friend's, Amma, appa varamaatanga anaa ungalukku bestie vandhuruvana onnu mattum purijikkonga that the parents ,friends, teachers are the good and pure souls in this world namma eppovum nalla irukkanumnu nenaikkaravanga dhan avanga onnum ungalukku bestie ellathayum seiyalaye",friend varamaatanga anaa ungalukku bestie vandhuruvana onnu mattum purijikkonga parents friends teachers good pure souls world namma eppovum nalla irukkanumnu nenaikkaravanga dhan avanga onnum ungalukku bestie ellathayum seiyalaye,Tanglish,youtube,,
நாய்க் காதல் ❤,நாய்க் காதல்,Tamil,youtube,,
4:36 2.9M likes 😑😑 I can't digest this🤐🤐🫨🫨,36 9m likes digest,English,youtube,,
ஐயோ கலக்குறீங்களே 😍,ஐயோ கலக்குறீங்களே,Tamil,youtube,,
நாடு நாசமா போகும்,நாடு நாசமா போகும்,Tamil,youtube,,
0:12 1:12 8:14 bro id solu bro intha couple odadhu Konjam reels podumothu per vara mari podu bro please 8:16,12 12 14 id solu intha couple odadhu konjam reels podumothu per vara mari podu please 16,Tanglish,youtube,,
Vera level 🔥🔥🔥,vera level,Tanglish,youtube,,
Ella period indhu iruku but mobile romba idha encourage pannudhu,ella period indhu iruku mobile romba idha encourage pannudhu,Tanglish,youtube,,
என் கட்ட Mela,என் கட்ட Mela,Tamil,youtube,,
Jodi illama opening la irundha ponnu en ku dhaa padikkura name Jenifer Yen bro troll pannala romba varuthama irukku😂,jodi illama opening irundha ponnu en ku dhaa padikkura name jenifer yen troll pannala romba varuthama irukku,Tanglish,youtube,,
போய் யூனிபார்ம் டிரெஸ் மாத்து எரும😮😮😮,போய் யூனிபார்ம் டிரெஸ் மாத்து எரும,Tamil,youtube,,
Tamil community super 👌,tamil community super,English,youtube,,
"Ituga amma appa la irukangala, ila konnutingala therila",ituga irukangala ila konnutingala therila,Tanglish,youtube,,
Vera level 😂😂😂 edit ❤❤❤,vera level edit,Tanglish,youtube,,
அந்த கடைசி ஜோடி பேரென்ன கொஞ்சம் சொல்லுங்க,அந்த கடைசி ஜோடி பேரென்ன கொஞ்சம் சொல்லுங்க,Tamil,youtube,,
😅😂😊what. Bro. Boy. Ok. Geal. To,bro boy ok geal,English,youtube,,
Bro kastama irrukku bro,kastama irrukku,Tanglish,youtube,,
Bro neenga first video poterkingla avanga I'd enna solringa,neenga first video poterkingla avanga enna solringa,Tanglish,youtube,,
En first lover s.subashini innaikku enga irukkaanganu theriyala ? Aana 2008 enna nambi Chennai ku vanthaanga. Veetla pirichittaanga.. ippo eanakku vera ponnoda marriage aahi 2 pen kulanthai age attend pannitaanga. Aanaal indrum avanga meethu eanakku madhippum mariyaathayum undu... This 90kids .... Oru naal night avanga enkooda odivanthappakooda avangala naan thodala???? This 90kids ..... Ippo?????? 1 minutes naasaamaa potchu naade. For example 2k kids..mathippu mariyaathaai vetkam ennavendre theriyaatha oru janthukkal,en first lover subashini innaikku enga irukkaanganu theriyala aana 2008 enna nambi chennai ku vanthaanga veetla pirichittaanga ippo eanakku vera ponnoda marriage aahi pen kulanthai age attend pannitaanga aanaal indrum avanga meethu eanakku madhippum mariyaathayum undu 90kids oru naal night avanga enkooda odivanthappakooda avangala naan thodala 90kids ippo minutes naasaamaa potchu naade example 2k kids mathippu mariyaathaai vetkam ennavendre theriyaatha oru janthukkal,Tanglish,youtube,,
Lost dialogue is related enna da valka edi 🤡,lost dialogue related enna valka edi,Tanglish,youtube,,
கமென்ட் என்ன வந்ததுனு கெட்ட வார்த்தையா போடுறியே....உன் குடும்ப பெண்களுக்கு அந்த வார்த்தையை எல்லாம் சொல்லி சந்தோசப்படு,கமென்ட் என்ன வந்ததுனு கெட்ட வார்த்தையா போடுறியே....உன் குடும்ப பெண்களுக்கு அந்த வார்த்தையை எல்லாம் சொல்லி சந்தோசப்படு,Tamil,youtube,,
😂 bro 1 st couple I'd enna??,st couple enna,Tanglish,youtube,,
8:07 avanga id sollu bro,07 avanga id sollu,Tanglish,youtube,,
Love பத்தி என்னடா நினைச்சீங்க ❤️❤️❤️,Love பத்தி என்னடா நினைச்சீங்க,Tamil,youtube,,
2k kids ku indha nelama thanga mudila innum 3k kids vandha enna aga podho 🙄😕,2k kids ku indha nelama thanga mudila innum 3k kids vandha enna aga podho,Tanglish,youtube,,
K d😊 girl s and boys,girl boys,English,youtube,,
Pavingala 30 vayasu akiduchu innum future a pathina payam irukku eppu da ipdi suthikittu irukinga kandravi en parents nenachi ippo sandosama irukku,pavingala 30 vayasu akiduchu innum future pathina payam irukku eppu ipdi suthikittu irukinga kandravi en parents nenachi ippo sandosama irukku,Tanglish,youtube,,
Aijajoo mudilla da saami But I am a SriLankan and I am 15 but Innai varaikkum enkidda Instagram/ TikTok ethuvume illa 😅😂 Aijajoo That Aikiri nanthini pathathume Ennoda reaction antha Aalu sirikkira maari tha irunthichu Bro 😂 Omg that poom poom madu kaaran 😂😂😂😂😂😂 and that Hoi Hoi Gay 😂,aijajoo mudilla saami srilankan 15 innai varaikkum enkidda instagram tiktok ethuvume illa aijajoo aikiri nanthini pathathume ennoda reaction antha aalu sirikkira maari tha irunthichu omg poom poom madu kaaran hoi hoi gay,Tanglish,youtube,,
"Anna Anni , Mama akka nu Comments pannitu Oru tharkuri Kootam Irukuthuga vera karumam....!",anni mama comments pannitu oru tharkuri kootam irukuthuga vera karumam,Tanglish,youtube,,
8:12 kindly tell their id bro,12 kindly tell id bro,English,youtube,,
They are thinking that it is a prestigious to them but according to it is a cringe,thinking prestigious according cringe,English,youtube,,
Thanks 😅,thanks,English,youtube,,
சில்வர் மண்டையன்,சில்வர் மண்டையன்,Tamil,youtube,,
இதுக 2000 ல பிறந்ததுக இல்ல.2010 பிறந்ததுக,இதுக 2000 ல பிறந்ததுக இல்ல.2010 பிறந்ததுக,Tamil,youtube,,
Kutty kujaan id name please please please please please please please please please please please please please please please 😊😊😊😊😊😊,kutty kujaan id name please please please please please please please please please please please please please please please,English,youtube,,
Ipolam periya pasangala Vida chinna pasangala patha than payama iruku😮 I am a new mother enaku girl baby 😢avala epadi intha societyla pathukapa valaka poranu rompa payama iruku 😢,ipolam periya pasangala vida chinna pasangala patha payama iruku new mother enaku girl baby avala epadi intha societyla pathukapa valaka poranu rompa payama iruku,Tanglish,youtube,,
Konjam uniform kalatitu vera dress la pannuga pa government scl pera kedukathinga da 😮,konjam uniform kalatitu vera dress pannuga government scl pera kedukathinga,Tanglish,youtube,,
4:26 ofc it's cringy but the message she was trying to communicate wasn't <3,26 ofc cringy message trying communicate,English,youtube,,
The Odia,odia,English,youtube,,
I am committed my girl friend Is 10th school topper in previous year Mark vanthu 485🎉 And my school toppper vanthu Naanthan mark vanthu 459🎉,committed girl friend 10th school topper previous year mark vanthu 485 school toppper vanthu naanthan mark vanthu 459,Tanglish,youtube,,
Naa kuda think panna .... Future laa road cleaning ku la yaarum vara maatnaga atha work la yaaru panna poranu.. ana idha video va patha future la mokkavasi tharkuringa ella atha work ku tha prepare aguranga nuu😂😂😂😂😂,naa kuda think panna future laa road cleaning ku yaarum vara maatnaga atha work yaaru panna poranu ana idha video patha future mokkavasi tharkuringa ella atha work ku tha prepare aguranga nuu,Tanglish,youtube,,
Even though they are behaving like that... It's not ok to show there face and portrait them with indecent words... They are childrens... As a society we are also the reason for their indiscipline behaviour... We should start it from our home... By teach our childrens....,even though behaving like ok show face portrait indecent words childrens society also reason indiscipline behaviour start home teach childrens,English,youtube,,
100% correct 👍🏻,100 correct,English,youtube,,
Appadi neegallam sonna sari kalyanam agi pondati kuda sanda poodama ethana peru irukkinga this the age of attraction ellarukkum varum but I know this is too much Naa ethavathu thappa pesi iruntha Brothers and sisters sorry,appadi neegallam sonna sari kalyanam agi pondati kuda sanda poodama ethana peru irukkinga age attraction ellarukkum varum know much naa ethavathu thappa pesi iruntha brothers sisters sorry,English,youtube,,
Romba romba worst 🤦🤦🤦,romba romba worst,Tanglish,youtube,,
"ஒன்னுமில்லாமே, எதுவும் செய்யாமே இருக்கிறது க்கு 🤧 இதுக பன்றது எவ்வளவோ தேவைல","ஒன்னுமில்லாமே, எதுவும் செய்யாமே இருக்கிறது க்கு இதுக பன்றது எவ்வளவோ தேவைல",Tamil,youtube,,
வருங்கால சித்தாள் கொத்தனார்,வருங்கால சித்தாள் கொத்தனார்,Tamil,youtube,,
Y you target only govt school students... Private school students also did the same...,target govt school students private school students also,English,youtube,,
Congratulations Government School Students And Teachers 🎉😂,congratulations government school students teachers,English,youtube,,
8:08 யூடியூப் மூலமாக அவன் மீது போக்ஸோ குற்றச்சாட்டு சாடலாமா?,8:08 யூடியூப் மூலமாக அவன் மீது போக்ஸோ குற்றச்சாட்டு சாடலாமா?,Tamil,youtube,,
7. 56 channel name what,56 channel name,English,youtube,,
Saniyan ga school uniform potu reels panudhunga,saniyan ga school uniform potu reels panudhunga,English,youtube,,
@rohinisampath 90s kids ah 🤩 aiyo very happy to meet you 🤩 epdinga epdinga epdi inum 90s single ah irukeenga 🤩 endha oorunga neenga rohini 🍀,rohinisampath 90s kids happy meet epdinga epdinga epdi inum 90s single irukeenga endha oorunga neenga rohini,Tanglish,youtube,,
Id please,id please,English,youtube,,
Acidity form airuchu da beer adichi eno kudichi vaanthi eduthutu iruken naneyy😭,acidity form airuchu beer adichi eno kudichi vaanthi eduthutu iruken naneyy,Tanglish,whatsapp,,
Next week la irunthu DSA,next week la irunthu dsa,English,whatsapp,,
Aprm next week la company vanthurum ah,aprm next week la company vanthurum ah,English,whatsapp,,
Thevidiya clg da ithu,thevidiya clg da ithu,English,whatsapp,,
"Pesama Inga AIDS eduthathuku vera clg IT,CSE eduthurukalam",pesama inga aids eduthathuku vera clg cse eduthurukalam,Tanglish,whatsapp,,
Karpagam college da avan,karpagam college avan,Tanglish,whatsapp,,
Athu Coimbatore ksr version,athu coimbatore ksr version,English,whatsapp,,
Paravala but rmb ah theory ah poguthu,paravala rmb ah theory ah poguthu,English,whatsapp,,
Dei na goa la thani ae kudikama thanni matum thanda potutu iruken,goa thani ae kudikama thanni matum thanda potutu iruken,Tanglish,whatsapp,,
Club la poi item kuda pesitu iruden da,club poi item kuda pesitu iruden,Tanglish,whatsapp,,
Athoda backstory solitu irudhuchu,athoda backstory solitu irudhuchu,English,whatsapp,,
"Athu 10 years ah inga tha irukam northeast assam kaari, avagaley tha neriya pera attract pani podanum ahm, apo tha club la irudhu kaasu varum athu ithu mu solitu irudhuchu",athu 10 years inga tha irukam northeast assam kaari avagaley tha neriya pera attract pani podanum ahm apo tha club irudhu kaasu varum athu ithu mu solitu irudhuchu,Tanglish,whatsapp,,
Dei bike la follow pani item venuma sir nu kekuraga da,bike follow pani item venuma sir kekuraga,Tanglish,whatsapp,,
Avan voice ley kekuthu da,avan voice ley kekuthu,Tanglish,whatsapp,,
Nithish alter ego,nithish alter ego,English,whatsapp,,
Really Boring da,really boring da,English,whatsapp,,
Ena da mapla depression ah,ena mapla depression,Tanglish,whatsapp,,
Bala in kailash <This message was edited>,bala kailash message edited,English,whatsapp,,
comedy bro,comedy bro,English,whatsapp,,
Dei thambi,dei thambi,English,whatsapp,,
Ellarum veliya vaanga da,ellarum veliya vaanga,Tanglish,whatsapp,,
Vanthu en sunni ah oombu da Ooty mundaa,vanthu en sunni oombu ooty mundaa,Tanglish,whatsapp,,
Such a bitch bala,bitch bala,English,whatsapp,,
Thevidiya bala oomba kuda laaki illa da nee thondi ketha,thevidiya bala oomba kuda laaki illa nee thondi ketha,Tanglish,whatsapp,,
Dei 50 anupuga da,50 anupuga,Tanglish,whatsapp,,
Evanda mathan phonela irundu message panrathu 🤣,evanda mathan phonela irundu message panrathu,English,whatsapp,,
"ஜெஃபின் ஓரினச்சேர்க்கையாளன்"" என்பதை தமிழில் ""ஜெஃபின் ஒரு பால் ஈர்ப்பாளர்"" அல்லது ""ஜெஃபினுக்கு ஆண்களின் மீது ஈர்ப்பு உண்டு"" என்று சொல்லலாம்.","ஜெஃபின் ஓரினச்சேர்க்கையாளன்"" என்பதை தமிழில் ""ஜெஃபின் ஒரு பால் ஈர்ப்பாளர்"" அல்லது ""ஜெஃபினுக்கு ஆண்களின் மீது ஈர்ப்பு உண்டு"" என்று சொல்லலாம்.",Tamil,whatsapp,,
"தொல்ஸ் என்பது பெண்ணியம் ஆர்வமுள்ள ஒருவராகும், அவர் பெண்களுடன் காமம் செய்ய விரும்புகிறார். @⁨Thols💫 Kuchi Naai⁩","தொல்ஸ் என்பது பெண்ணியம் ஆர்வமுள்ள ஒருவராகும், அவர் பெண்களுடன் காமம் செய்ய விரும்புகிறார். @ Thols Kuchi Naai",Tamil,whatsapp,,
தொல்ஸ் என்பது எப்போது மண்ணில் தன் உருண்டையை உறிஞ்சிக்கொண்டே இருப்பவன்.,தொல்ஸ் என்பது எப்போது மண்ணில் தன் உருண்டையை உறிஞ்சிக்கொண்டே இருப்பவன்.,Tamil,whatsapp,,
தோல்ஸ் என்ற மனிதனுக்கு எப்போதும் தன்னுடைய குத்தியை வாயில் வைத்து உறிஞ்சுவதற்கான பழக்கம் உள்ளது.,தோல்ஸ் என்ற மனிதனுக்கு எப்போதும் தன்னுடைய குத்தியை வாயில் வைத்து உறிஞ்சுவதற்கான பழக்கம் உள்ளது.,Tamil,whatsapp,,
ஜெஃபின் ஆண்கள் மற்றும் பாலினத்தவர்களுடன் அதிகமாக உடலுறவு கொண்டார்.,ஜெஃபின் ஆண்கள் மற்றும் பாலினத்தவர்களுடன் அதிகமாக உடலுறவு கொண்டார்.,Tamil,whatsapp,,
"தோல்ஸ் அனைவருடனும் உடலுறவு கொள்ளும் ஒரு பையன், அவர் விலங்குகளுடன் கூட உடலுறவு கொள்கிறார், மேலும் அவர் குதிரை ஆண்குறியை உறிஞ்சுகிறார் <This message was edited>","தோல்ஸ் அனைவருடனும் உடலுறவு கொள்ளும் ஒரு பையன், அவர் விலங்குகளுடன் கூட உடலுறவு கொள்கிறார், மேலும் அவர் குதிரை ஆண்குறியை உறிஞ்சுகிறார் <This message was edited>",Tamil,whatsapp,,
"ஜெஃபின் ஆணல்ல, பெண்ணாகவும் திருநங்கையாகவும் கருதப்படுகிறார். அவன் பகுதி நேரமாக ஆணின் ஆண்குறியை உறிஞ்சுவதும், இரவில் விபச்சாரியாகத் தனது தொழிலைச் செய்வதும் ஆகும்.","ஜெஃபின் ஆணல்ல, பெண்ணாகவும் திருநங்கையாகவும் கருதப்படுகிறார். அவன் பகுதி நேரமாக ஆணின் ஆண்குறியை உறிஞ்சுவதும், இரவில் விபச்சாரியாகத் தனது தொழிலைச் செய்வதும் ஆகும்.",Tamil,whatsapp,,
"நெடுஞ்சாலையில் டார்ச் விளக்கைப் பிடித்துக் கொண்டு லாரி ஓட்டுநர்களின் கண்களுக்கு நேராக டார்ச் விளக்கைக் காட்டி அவர்களை நிறுத்தி மயக்கி தங்கள் பிராத்தல் வீட்டிற்கு அழைத்துச் செல்லும் ஓரினச்சேர்க்கையாளர் தோல்ஸ் அவர்களுடன் ஒரு கடினமான குதவழி உடலுறவு கொள்கிறார், அவர்களுடன் ஒரு ஃபோர்ப்ளே செய்கிறார் வெறும் 2 ரூபாய் மட்டுமே","நெடுஞ்சாலையில் டார்ச் விளக்கைப் பிடித்துக் கொண்டு லாரி ஓட்டுநர்களின் கண்களுக்கு நேராக டார்ச் விளக்கைக் காட்டி அவர்களை நிறுத்தி மயக்கி தங்கள் பிராத்தல் வீட்டிற்கு அழைத்துச் செல்லும் ஓரினச்சேர்க்கையாளர் தோல்ஸ் அவர்களுடன் ஒரு கடினமான குதவழி உடலுறவு கொள்கிறார், அவர்களுடன் ஒரு ஃபோர்ப்ளே செய்கிறார் வெறும் 2 ரூபாய் மட்டுமே",Tamil,whatsapp,,
"ஜெஃபின் இலக்கிய ரீதியாக கேஃபின் என்று அழைக்கப்படுகிறார், அவர் ஓரின சேர்க்கை தொழிலில் பிரபலமானவர் மற்றும் அவரது உறிஞ்சும் திறமையால் நன்கு வளர்ந்தவர். ஒரு முறை கேஃபின் ஒரு நாயை மிகவும் கடினமாக உறிஞ்சியதால் அந்த நாய் உடனடியாக இறந்துவிட்டது.","ஜெஃபின் இலக்கிய ரீதியாக கேஃபின் என்று அழைக்கப்படுகிறார், அவர் ஓரின சேர்க்கை தொழிலில் பிரபலமானவர் மற்றும் அவரது உறிஞ்சும் திறமையால் நன்கு வளர்ந்தவர். ஒரு முறை கேஃபின் ஒரு நாயை மிகவும் கடினமாக உறிஞ்சியதால் அந்த நாய் உடனடியாக இறந்துவிட்டது.",Tamil,whatsapp,,
"அவர் தனது தொழிலை இலவசமாகவும், அதை சேவையாகவும் செய்து வருகிறார், மேலும் LGBTQ தலைவரிடமிருந்து விருதைப் பெறுகிறார்.","அவர் தனது தொழிலை இலவசமாகவும், அதை சேவையாகவும் செய்து வருகிறார், மேலும் LGBTQ தலைவரிடமிருந்து விருதைப் பெறுகிறார்.",Tamil,whatsapp,,
iruku da,iruku,Tanglish,whatsapp,,
"தோல்ஸ் ஒரு லெஸ்பியன் குதிரைகளுடன் உடலுறவு கொள்ள விரும்புகிறார் அவர் எப்போதும் தனது புண்டையில் 2 முதல் 3 குதிரைகள் டிக் வேண்டும் என்று விரும்பினார் அவள் பரந்த திறந்த புண்டையை வைத்திருக்கிறாள் ஒரு 5 குதிரை கூட அதன் டிக் அவளது புண்டைக்குள் அனுப்ப முடியும் அது எவ்வளவு பெரியது குதிரை போன்ற விலங்குகளுடன் உடலுறவு கொள்ள அவர் எப்போதும் ஏங்குகிறார், யானை, பல்லிகள் அவள் கூட பல்லிகளின் சிறிய டிக் உறிஞ்சும்","தோல்ஸ் ஒரு லெஸ்பியன் குதிரைகளுடன் உடலுறவு கொள்ள விரும்புகிறார் அவர் எப்போதும் தனது புண்டையில் 2 முதல் 3 குதிரைகள் டிக் வேண்டும் என்று விரும்பினார் அவள் பரந்த திறந்த புண்டையை வைத்திருக்கிறாள் ஒரு 5 குதிரை கூட அதன் டிக் அவளது புண்டைக்குள் அனுப்ப முடியும் அது எவ்வளவு பெரியது குதிரை போன்ற விலங்குகளுடன் உடலுறவு கொள்ள அவர் எப்போதும் ஏங்குகிறார், யானை, பல்லிகள் அவள் கூட பல்லிகளின் சிறிய டிக் உறிஞ்சும்",Tamil,whatsapp,,
"மார்கழி மாதத்தில் தினமும் இரவில் தெரு நாய்களுக்கு விளக்கு பிடிக்கிறார், ஒரு நாயைப் பிடித்தார்.","மார்கழி மாதத்தில் தினமும் இரவில் தெரு நாய்களுக்கு விளக்கு பிடிக்கிறார், ஒரு நாயைப் பிடித்தார்.",Tamil,whatsapp,,
"இதுதான் கேஃபின் கதையின் கதைக்களம், நன்றி வணக்கம்.","இதுதான் கேஃபின் கதையின் கதைக்களம், நன்றி வணக்கம்.",Tamil,whatsapp,,
"ஒவ்வொருவரின் ஆண்குறியையும், விலங்குகளையும், தனது சொந்த ஆண்குறியையும் உறிஞ்சும் தோல்ஸ் என்று அழைத்த நபரின் முடிவு இதுதான், இந்த கதை விரைவில் தொடரும், மீண்டும் தோல்ஸ் அனைவரின் ஆண்குறியையும் உறிஞ்சத் தொடங்கும், எனவே பகுதி 2 தொடரும் வரை காத்திருங்கள்..... <This message was edited>","ஒவ்வொருவரின் ஆண்குறியையும், விலங்குகளையும், தனது சொந்த ஆண்குறியையும் உறிஞ்சும் தோல்ஸ் என்று அழைத்த நபரின் முடிவு இதுதான், இந்த கதை விரைவில் தொடரும், மீண்டும் தோல்ஸ் அனைவரின் ஆண்குறியையும் உறிஞ்சத் தொடங்கும், எனவே பகுதி 2 தொடரும் வரை காத்திருங்கள்..... <This message was edited>",Tamil,whatsapp,,
"காத்திருக்கும் நேரத்தில், ஜெஃபின் என் குண்டியை வேகமாக உறிஞ்சப் போகிறான்.","காத்திருக்கும் நேரத்தில், ஜெஃபின் என் குண்டியை வேகமாக உறிஞ்சப் போகிறான்.",Tamil,whatsapp,,
"இனிமேல் நீங்க அவரோட குண்டியை ஃபக் பண்ணலாம், அவர் எல்லாருக்கும் ரொம்ப தெளிவா காட்டுவார்","இனிமேல் நீங்க அவரோட குண்டியை ஃபக் பண்ணலாம், அவர் எல்லாருக்கும் ரொம்ப தெளிவா காட்டுவார்",Tamil,whatsapp,,
Saturday Leave and Sunday Leave da,saturday leave sunday leave da,English,whatsapp,,
Sorry machi,sorry machi,English,whatsapp,,
Dei yanna da ithu😀,yanna ithu,Tanglish,whatsapp,,
Dei avaney ena maari msg panitu irukan da,avaney ena maari msg panitu irukan,Tanglish,whatsapp,,
Theiryuthu antha punda pandra vela thaanu,theiryuthu antha punda pandra vela thaanu,English,whatsapp,,
Dei 60km ah 3hrs ooturaga da inga,60km 3hrs ooturaga inga,Tanglish,whatsapp,,
Aabid ah driver pakkathula poi ukara sollu da,aabid driver pakkathula poi ukara sollu,Tanglish,whatsapp,,
kasu kaila illa da,kasu kaila illa,Tanglish,whatsapp,,
vera ethavathu kelu da pathukalam,vera ethavathu kelu pathukalam,Tanglish,whatsapp,,
Ena da profile athu😂😂,ena da profile athu,English,whatsapp,,
Nee dhan asal thevidiyaaa kanadi irundha eduthu paaru nala theriyum,nee dhan asal thevidiyaaa kanadi irundha eduthu paaru nala theriyum,Tanglish,whatsapp,,
Enna yen camera laa unna theriyuma enna,enna yen camera laa unna theriyuma enna,Tanglish,whatsapp,,
Dei item kaara munda ena da loosi thevadiya maari pesitey iruka,item kaara munda ena loosi thevadiya maari pesitey iruka,Tanglish,whatsapp,,
Una epo da senji vida poraga nu theriyala,una epo senji vida poraga theriyala,Tanglish,whatsapp,,
Oomba vituruven unna <This message was edited>,oomba vituruven unna message edited,English,whatsapp,,
Neeye pussy munda,neeye pussy munda,English,whatsapp,,
Avan thanda unaku pool iruku nu nambi oombuvan da,avan thanda unaku pool iruku nambi oombuvan,Tanglish,whatsapp,,
Othaa paithyam pudichirchaa,othaa paithyam pudichirchaa,English,whatsapp,,
