text,source,label,severity
பெத்தவங்க படிக்கிறதுக்கு போன் வாங்கி குடுத்தா இந்த வேலை தேவையா.,youtube,,
Goppan thalli paduthurkalam dialogue ultimate 😂😂😂😂😂😂😂0.17,youtube,,
5:52 Ayyoo mandayila kuruvi kooduu😅,youtube,,
Last la vacha paruya ultimate 😂😂,youtube,,
அந்த வீடியோவில் வர்ற all comments வேற லெவல் போங்க🤣🤣🤣🤣🤣🤣,youtube,,
"After watch the last video, I was thinking my life is wast 😂😂😂😂",youtube,,
என் உயிர் தலைவன் அந்நியன் சியான் விக்ரம்😂 டயலாக் வேற லெவல்,youtube,,
"5:24. That friend who covered her  face 😊

POV~ I don't know this tharkuri girls",youtube,,
நித்தியானந்தா சிரிப்பு அழகு,youtube,,
School management defenetly should take action,youtube,,
All is Govt. School Uniform 🙄 no one is in the private school uniform,youtube,,
vinthu thavariya tharunam😂😂😂,youtube,,
0:28...Perfect words😂💯,youtube,,
நீங்க நல்லா தீவிரவாதி மாதிரி சுட வேணும்,youtube,,
இந்த காலத்து 2 கிட்ஸ் இளைஞர்களை நினைத்து ரொம்ப வேதனைப்படுகிறேன் இந்த இளைஞர்கள் எல்லாம் என்னதான் ஆகப் போகிறார்கள் தெரியவில்லை,youtube,,
1:40  idhu enga school 😂😂😂😂 paiyan da,youtube,,
❤🙏,youtube,,
🤪🤪🤪🤣🤣🤣🤣,youtube,,
Engaiyooo kelvi patta maari irukku ooruu peruu,youtube,,
Ippo iruka generation pasangala rombha mosa irukunga parents tha paavam🤦‍♀️,youtube,,
"90s Kids Ah Pirandha Yelarume Sandhosam Padanum... 
Namma Amma Appa Yevalo Kasta Pattu Nammala Vazhathanga ... Ana Yepo 2k nu Sli Vandhangalo Apovea Yela Kalacharamum Mudinjudhu",youtube,,
என்னால சில வீடியோவை பார்க்கும் போது சிரிப்பு அடக்கவே முடியல இந்த தறுதலை எல்லாம் எங்க பொறந்தது எதுக்கு பொறந்தது,youtube,,
எல்லாம் government school பிள்ளைங்க தான் 😢,youtube,,
Yaoo neethaya 😂😂 editor yaa 😂😂,youtube,,
Semma semma😂😂😂,youtube,,
Lock down la online class vantha appave school pasanga nasama poitanga 90 kids ah vida 2k kids very fast,youtube,,
Expreans erukko antha rendu ponnukkum😂,youtube,,
என்னடா முடி இது 😂😂😂😂😂,youtube,,
Im early 2k but enna elvu nama natku ennthan achu varungala kotnar ella ready 😂😂😂😂😂 chai school pasanga,youtube,,
Last reel is hurt more ❤,youtube,,
Aapa puriyala eppa puriuthu😅😅,youtube,,
Ayiooo Mudiyala 🤣🤣🤣🤣😂,youtube,,
Eana bro..😂😂🙌🤦🤦🤦🤦🤦,youtube,,
"Opening title super pa😂😂😂, 
Teachers la romba pavam😢😮
Parents solla varthai illai😢
Future kothanar, sithal guarantee😅",youtube,,
"All best
❤❤❤
chaild baby onesmore
nakkal pannum anaivarum
Kulanthai paruvathi 
Thirumpi parrungal.
Anaivaru sivan padaipu.....",youtube,,
Nice funny video bro realy very nice 😂🤣👏,youtube,,
ஓரளவிற்கு மேல்தான்,youtube,,
Naa mattum thaan single nenachitu irundhen 😅,youtube,,
2:25 oru visiyam puriyala enakku adhula ena karumam irukunu andha video ku ivlo Likes nd comments 👀🤢😂,youtube,,
Ivanga ipadi panratha thappu than but Nan onnu kekuren ippo kothanar sitthal la irukaravanga first ipadithan panitu thiranjakala athu mattum illa paduchutu velaiye kedaika matinguthu ippo kathanar sitthal nalla than sambathikuranga apran veetla pathu kalyanam Pani vacha ethanaiyo husband olunga velaiku pogama kudchutu thiriyiranunga apdi patta vangala kalyanam pana pombalaingala intha Vella pakuranga summa pesanum nu pesakoodathu😡,youtube,,
​ @AruljothiSanthosam super bro,youtube,,
வீட்ல பாத்தா சத்தம் போடுவாங்கனு பயம் இல்லையா?,youtube,,
School staffs thitta maatankala,youtube,,
Iyoo venama ma romba seripu seripu pa varuthu enna laa mudilaa pa appram romba sirichaa....😂😂😂... vitla adivanguvaa😂😂,youtube,,
"0:24 intha ponnu en kuuda padicha ponutha... 10th fail aaitu pass pani vanthu theripium fail aaga poora🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️... School ah avaluku tc kuduthum ava vaalu aranthu poogala
Yen class la avala sori muunji nu kuupuvaanga... But ithu maari illa neengala nalla padikanum..👍🏻",youtube,,
Yow yara editor 😂😂😂😂 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,youtube,,
இதுங்கள பெத்ததுக்களை கட்டி போட்டு வெளுக்கணும் வளர்ப்பு சரி இல்ல,youtube,,
சூப்பர் வீடியோ பா நாய் காதல் செம 👌👌👌👌👌👌👌,youtube,,
Enkku 36 age aachu. Single very sad - Franklin old town Vellore,youtube,,
பெற்றோர் கவனத்திற்கு......,youtube,,
😂😂😂😂 தரமான எடிட்டிங் 😂😂😂,youtube,,
Nee thaya editor uh🎉😂❤,youtube,,
ப்ரோ ரோல் வீடியோ நல்லா இருக்கு ஆனா அந்த இடையில சிரிக்கிறான் பாத்தியா ஒருத்தன் அந்த சீனை எடுத்துடு பத்திக்கிட்டு வருது,youtube,,
😂😂😂😂😂😂😂😂😂 vera level anna,youtube,,
இதுங்கள சோல்லி என்ன பன்ன இவங்க அப்ப அம்மா ல சோல்லனும்😡😡😡,youtube,,
Tiruvannamalai district and municipal fans club🎉🎉🎉🎉🎉🎉😂😂😂😂😂😂❤❤❤❤❤,youtube,,
Vera level 🔥😂❤,youtube,,
Enne um inde 90k kku seidu kolluggada nanbarggrlla podusa tan pa phone eduttan vandu patta ippediy ellam irukka ippo tan purindu 2k lla irundallum valluradu 90k pole tan😒😒😒,youtube,,
Vera level 😂😅😊,youtube,,
அனைவரையும் POCSO சட்டத்தின் கீழ் வழக்கு பதிவு செய்து சிறையில் அடைக்க வேண்டும்,youtube,,
uncontrolled laughing 😂😂😂😂😂😂😂😂😂😂😂😂😂😂 super ma,youtube,,
😂❤,youtube,,
🙏❤,youtube,,
Majah pannitinga pongah 😅😂,youtube,,
பாவம் பா இந்த 90s kids எல்லாம் ரொம்ப மனசு வருத்தமா இருக்கு 😢 ஏன்னா நானும் 90சரி kid தான் 😢 இத எல்லாம் பாத்தா ஏன் மனசாட்சி ஏங்கிட்ட ஏன்டா ஒரு மொலம் கயிறு இருந்தா போய் தூங்கு ல தொங்கு டா ன்னு சொல்லுது இவங்க தான் நம் நாட்டின் எதிர்கால தூன்கள் ஒத்த சய்.... செருப்புகல்,youtube,,
Anna unga attathukku oore sirikkume athukku unnam rendu comment eduththu podunga plzz 😂😂,youtube,,
"Apo school poradhu reels podadhan😂
Naamalam interval sapada early morning friends oh da onna sapudave povomeda😂",youtube,,
சரியான தலைப்பு,youtube,,
Ennoda manase leasaa aayiduchu,youtube,,
Aii the vidiya bestie  acha diii 😂😂😂,youtube,,
Mudiyala pa😂😂,youtube,,
Soriyar model youth 😂😂😂😂😂😂,youtube,,
Part 2 venum bro ❤,youtube,,
10நிமிஷம் தல் லி படுதீர்க்கலாம்,youtube,,
பாவம் டா கடவுள்க்கே சொதனை,youtube,,
😂😂😂😂😂😂😂 Warangal Kothari Shital  valthukkal 🙌🙌🙌🙌 Kotak Kotha nari account😂😂😂😂😂,youtube,,
Makkata 😂😂,youtube,,
Bro Darshan😂😂😂,youtube,,
Super thalaiva,youtube,,
"friend's, Amma, appa varamaatanga anaa ungalukku bestie vandhuruvana onnu mattum purijikkonga that the parents ,friends, teachers are the good and pure souls in this world namma eppovum nalla irukkanumnu nenaikkaravanga dhan avanga onnum ungalukku bestie ellathayum seiyalaye",youtube,,
நாய்க் காதல் ❤,youtube,,
"4:36 2.9M likes 😑😑


I can't digest this🤐🤐🫨🫨",youtube,,
ஐயோ கலக்குறீங்களே 😍,youtube,,
👍🤭🤭,youtube,,
Ungala peththathuka enum uyiroda erukka,youtube,,
2 mozhi kolgai + pagutharivu😂😂 periyar vazga😂😂,youtube,,
நாடு நாசமா போகும்,youtube,,
Mudunjucha innaika sethuren itha pakkurathuku🙄🙄🙄🙄🙄,youtube,,
😂 curivi manda,youtube,,
5:28 cringe katranglama,youtube,,
"0:12 1:12   8:14 bro id solu bro intha couple odadhu
Konjam reels podumothu per vara mari podu bro please 8:16",youtube,,
😂😂😂super bro,youtube,,
Congratulations PK 11k likes ❤ do you remember me !!,youtube,,
Love panra paiyan ungala yaru kudavum pesa venanu sonna athu ungaluku torcher ahna bestie sonna careing ah pongadi 😢,youtube,,
Ithungaluku phone yar kodukra parents sollanum 😢😢😢,youtube,,
Vera level 🔥🔥🔥,youtube,,
Ella period indhu iruku but mobile romba idha encourage pannudhu,youtube,,
என் கட்ட Mela,youtube,,
"Jodi illama opening la irundha ponnu en ku dhaa  padikkura name Jenifer 
Yen bro troll pannala romba varuthama irukku😂",youtube,,
5:27 5:28 5:29 5:30,youtube,,
Indha ulagak edha noki payanakm pannidho theriyalayee😢😢😢,youtube,,
Super,youtube,,
😊 velukonda,youtube,,
😂😅😂 sema fun,youtube,,
போய் யூனிபார்ம் டிரெஸ் மாத்து எரும😮😮😮,youtube,,
Tamil community super 👌,youtube,,
"5:56😢😢😢, 😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😫🤯🥵",youtube,,
Selma super,youtube,,
Last ah vantha video panra van id sollunga,youtube,,
3.12 😂😂😂😂,youtube,,
4:43 🙄 2.9M Likes 😢  2.9M tharkuris like that video 😅,youtube,,
"Ituga amma appa la irukangala, ila konnutingala therila",youtube,,
Vera level 😂😂😂 edit ❤❤❤,youtube,,
"அந்த கடைசி ஜோடி பேரென்ன 
கொஞ்சம் சொல்லுங்க",youtube,,
😅😂😊what.   Bro.   Boy.  Ok.  Geal.  To,youtube,,
Bro kastama irrukku bro,youtube,,
Bro neenga first video poterkingla avanga I'd enna solringa,youtube,,
En first lover s.subashini innaikku enga irukkaanganu theriyala ? Aana 2008 enna nambi Chennai ku vanthaanga. Veetla pirichittaanga.. ippo eanakku vera ponnoda marriage aahi 2 pen kulanthai age attend pannitaanga. Aanaal indrum avanga meethu eanakku madhippum mariyaathayum undu... This 90kids .... Oru naal night avanga enkooda odivanthappakooda avangala naan thodala???? This 90kids .....    Ippo?????? 1 minutes naasaamaa potchu naade. For example 2k kids..mathippu mariyaathaai vetkam ennavendre theriyaatha oru janthukkal,youtube,,
90 kids rule in  tamilnadu only solution 😂😂😂,youtube,,
Lost dialogue is related enna da valka edi 🤡,youtube,,
Yo admin pathala ya innum...innum,youtube,,
கமென்ட் என்ன வந்ததுனு கெட்ட வார்த்தையா போடுறியே....உன் குடும்ப பெண்களுக்கு அந்த வார்த்தையை எல்லாம் சொல்லி சந்தோசப்படு,youtube,,
❤❤❤❤,youtube,,
😂 bro 1 st couple I'd enna??,youtube,,
8:07 avanga id sollu  bro,youtube,,
Nadu engada poguthu😢😢,youtube,,
Love பத்தி என்னடா நினைச்சீங்க ❤️❤️❤️,youtube,,
Ithungaluku like poduthungaley avingala sollanum chaiiii,youtube,,
Sir content ah mathunha sir eptilam tik tok panni panni tha periya aal aguranga 😢,youtube,,
2k kids ku indha nelama thanga mudila innum 3k kids vandha enna aga podho 🙄😕,youtube,,
Chai ... pakkave kevalama iruku,youtube,,
Thala mela 🏔️,youtube,,
5:40,youtube,,
Ithu palasu bro,youtube,,
Un naku kulla en kunga vetene😅,youtube,,
Poriki porampoka tha ipo ulla girls (6.02 )pudikum,youtube,,
😅😅😅😅😅😅😅 super bro super 👏👏👏👏,youtube,,
😂😂😂😂😂❤❤,youtube,,
❤❤   🔥 video 📸🎉❤❤❤,youtube,,
Ooo avvana ni,youtube,,
--------------->😅,youtube,,
Andha couples video 😮 pandra pasanga id sollunga,youtube,,
Dog love 😂😂😂😂😅,youtube,,
Naasamaa poguthu,youtube,,
Love na naayi kaadhal 🤦,youtube,,
😅😅😂😂😂😂😂😂,youtube,,
Nice video bro😂😂😂,youtube,,
😭,youtube,,
Avane ponnu polatha irukka,youtube,,
2k yarukum bayabada matrranga,youtube,,
❤❤❤❤❤❤❤,youtube,,
😂😂😂😂😂😂😂😂😂😂😂😂😂,youtube,,
Beer moonju,youtube,,
😍😍😍😍😍😍,youtube,,
K d😊 girl s and boys,youtube,,
Pavingala 30 vayasu akiduchu innum future a pathina payam irukku eppu da ipdi suthikittu irukinga kandravi en parents nenachi ippo sandosama irukku,youtube,,
03:42,youtube,,
"Aijajoo mudilla da saami But I am a SriLankan and I am 15 but Innai varaikkum enkidda Instagram/ TikTok ethuvume illa 😅😂
Aijajoo That Aikiri nanthini pathathume Ennoda reaction antha Aalu sirikkira maari tha irunthichu Bro 😂
Omg that poom poom madu kaaran 😂😂😂😂😂😂 and that Hoi Hoi Gay 😂",youtube,,
Ommala 2k kids yaarachum?,youtube,,
Bro intha video va nan use panikalama?,youtube,,
😆🤣,youtube,,
"Anna Anni , Mama akka nu Comments pannitu Oru tharkuri Kootam Irukuthuga vera karumam....!",youtube,,
8:12 kindly tell their id bro,youtube,,
They are thinking that it is a prestigious to them but according to it is a cringe,youtube,,
Thanks 😅,youtube,,
🙏❤😂🤭,youtube,,
சில்வர் மண்டையன்,youtube,,
இதுக 2000 ல பிறந்ததுக இல்ல.2010 பிறந்ததுக,youtube,,
Kutty kujaan id name please please please please please please please please please please please please please please please 😊😊😊😊😊😊,youtube,,
😂😂😂😂😂😂,youtube,,
😅😅😂😂,youtube,,
😂😂😂😂,youtube,,
Ippo ella school pullaingalum ipdi dha irukanga😢 sila pillaingala thavira,youtube,,
Indians😂,youtube,,
Om,youtube,,
Ipolam periya pasangala Vida chinna pasangala patha than payama iruku😮 I am a new mother enaku girl baby 😢avala epadi intha societyla pathukapa valaka poranu rompa payama iruku 😢,youtube,,
Konjam uniform kalatitu vera dress la pannuga pa government scl pera kedukathinga da 😮,youtube,,
2.36 Athenna manda vta perukkura thodappa katta mari erkuu😂😂,youtube,,
kothanar sithal velailam avlo kevalama chinna vayasula ipdi pandrathu thapputhan athuku yen aduthavanga velaiya pathi pesanum kothanar velai ilana yar veedu kattuva,youtube,,
4:26 ofc it's cringy but the message she was trying to communicate wasn't <3,youtube,,
The Odia,youtube,,
"I am committed my girl friend 
Is 10th school topper in previous year
Mark vanthu 485🎉

And my school toppper vanthu 
Naanthan mark vanthu 459🎉",youtube,,
Naa kuda think panna .... Future laa road cleaning ku la yaarum vara maatnaga atha work la yaaru panna poranu.. ana idha video va patha future la mokkavasi tharkuringa ella atha work ku tha prepare aguranga nuu😂😂😂😂😂,youtube,,
😢,youtube,,
Mm,youtube,,
🙀😆🤣😂,youtube,,
😂😂😂😂😂😂🤬🤬🤬🤬🤬🤬,youtube,,
🤐,youtube,,
"Hii
Unga channel la advertisement pannanum replay",youtube,,
now days be like 🌈🌈,youtube,,
Anti spiral,youtube,,
Even though they are behaving like that... It's not ok to show there face and portrait them with indecent words... They are childrens... As a society we are also the reason for their indiscipline behaviour... We should start it from our home... By teach our childrens....,youtube,,
😢mm,youtube,,
100% correct 👍🏻,youtube,,
Insta id : pktrending8,youtube,,
Unga parents enna athan pannuvanga evangala pagama,youtube,,
😢😢😢😢,youtube,,
Olukam ilatha tamilagam,youtube,,
90's single ponungaloda sabam summa vida dhu da kutty kunjans..... Idhunga panuradhuku kadupa irundhalum school pasanga kita abasamana comments thavirthitu complaint raise pannalam,youtube,,
Appadi neegallam sonna sari kalyanam agi pondati kuda sanda poodama ethana peru irukkinga this the age of attraction ellarukkum varum but I know this is too much Naa ethavathu thappa pesi iruntha Brothers and sisters sorry,youtube,,
Romba romba worst 🤦🤦🤦,youtube,,
Ne okurada nan partene,youtube,,
Ne madu ealla paei,youtube,,
100 naal velai kevalamana velaiya😮,youtube,,
"ஒன்னுமில்லாமே, எதுவும் செய்யாமே இருக்கிறது க்கு 🤧 இதுக பன்றது எவ்வளவோ தேவைல",youtube,,
வருங்கால சித்தாள் கொத்தனார்,youtube,,
Pongaya yo 😢  ennada idhu,youtube,,
Y you target only govt school students... Private school students also did the same...,youtube,,
Congratulations Government School Students And Teachers 🎉😂,youtube,,
😂😂😂🙏,youtube,,
8:08 யூடியூப் மூலமாக அவன் மீது போக்ஸோ குற்றச்சாட்டு சாடலாமா?,youtube,,
எதே BSC CARDIOLOGISTaa 😂😂😂😂,youtube,,
7. 56 channel name what,youtube,,
Saniyan ga school uniform potu reels panudhunga,youtube,,
 @rohinisampath   90s kids ah 🤩 aiyo very happy to meet you 🤩 epdinga epdinga epdi inum 90s single ah irukeenga 🤩 endha oorunga neenga rohini 🍀,youtube,,
"Sometimes appadi thonuthu.. 😭Ana ithuka ella velaiyum pakkum thirudum, uru suthi nalla match pannuthu..",youtube,,
🤣🤣😂,youtube,,
100days velai kedaikum seri ana salary kekaathu 😂😂😂,youtube,,
Id please,youtube,,
Pavam bro,youtube,,
Elei kena pundaigala,whatsapp,,
Ena aachi mapla,whatsapp,,
Ennada,whatsapp,,
Summa da bore koothi adikuthu,whatsapp,,
<Media omitted>,whatsapp,,
Neeyacham enjoy pannu mapla,whatsapp,,
Acidity form airuchu da beer adichi eno kudichi vaanthi eduthutu iruken naneyy😭,whatsapp,,
Evlo selavachu,whatsapp,,
@⁨Clg Danamjai⁩ un saraku monday vanthurum da,whatsapp,,
Kena punda epo da vara,whatsapp,,
Paavam da training boys🥲,whatsapp,,
Novv uttruna 🤧,whatsapp,,
Training lam epudi da poguthu,whatsapp,,
Bunda maari,whatsapp,,
6 days la Java kathukalam,whatsapp,,
Kathukanuma ?,whatsapp,,
Illa muduchitanga,whatsapp,,
Next week la irunthu DSA,whatsapp,,
Ohhhh,whatsapp,,
Nice da,whatsapp,,
Aprm next week la company vanthurum ah,whatsapp,,
"HTML,CSS la vera nottuvangalam",whatsapp,,
En frnds rendu peru place aitaga da,whatsapp,,
Ama da,whatsapp,,
10lpa ku,whatsapp,,
Ena role,whatsapp,,
Thevidiya clg da ithu,whatsapp,,
Developer,whatsapp,,
Ohh,whatsapp,,
Leetcode la 700 problems slove panirukan da,whatsapp,,
Apo aagalam da,whatsapp,,
Avagalam java tha,whatsapp,,
"Pesama Inga AIDS eduthathuku vera clg IT,CSE eduthurukalam",whatsapp,,
Karpagam college da avan,whatsapp,,
Arumai da,whatsapp,,
Athu Coimbatore ksr version,whatsapp,,
Ama kelvi patruken,whatsapp,,
Onumey pana mudiyathu ney🥲,whatsapp,,
"Python padika mudiyama ,javavum padika mudiyama avastha padren da chaari",whatsapp,,
Karuppu bro kita white flag kaati anaikey mudichirukalam😑,whatsapp,,
Anaikey venam nu solirukalam,whatsapp,,
Karuppuku enakum sanda mapla pesrathilla,whatsapp,,
Athu tha white flag kaati aachum kutitu vanthurukalam,whatsapp,,
Athunala thaan traning eh paravala nu vanten,whatsapp,,
Training paravalaiya mapla,whatsapp,,
Ena kaatnalum velaikagathu,whatsapp,,
Paravala but rmb ah theory ah poguthu,whatsapp,,
Inimey lam veliya vara mudiyatha ?,whatsapp,,
Thrla da,whatsapp,,
Rytra,whatsapp,,
Ithaan last traning nu soldranga,whatsapp,,
Evlo naal ku,whatsapp,,
45,whatsapp,,
Agust la thaan mudiyuthu,whatsapp,,
Aprm intern vaagitu oodiru mapla,whatsapp,,
Athaan da panna poren,whatsapp,,
Oombu oombunu oombranga da,whatsapp,,
🤣,whatsapp,,
Dei na goa la thani ae kudikama thanni matum thanda potutu iruken,whatsapp,,
17 pints poriukum ula,whatsapp,,
Nee adichitu aatam podu,whatsapp,,
Club la poi item kuda pesitu iruden da,whatsapp,,
Paavama irudhuchu,whatsapp,,
Soga kathaiya?,whatsapp,,
Athoda backstory solitu irudhuchu,whatsapp,,
Enavam,whatsapp,,
"Athu 10 years ah inga tha irukam northeast assam kaari, avagaley tha neriya pera attract pani podanum ahm, apo tha club la irudhu kaasu varum athu ithu mu solitu irudhuchu",whatsapp,,
"Interest iruka nu ketuchu enaku lam ila samy, bore adikuthu nu pesuren nu soliten😂",whatsapp,,
Kastam thaan,whatsapp,,
Road la elarumey item sir item sir nu koovi koovi kupuduvaga da,whatsapp,,
Dei bike la follow pani item venuma sir nu kekuraga da,whatsapp,,
Adangomala,whatsapp,,
Avan voice ley kekuthu da,whatsapp,,
Otha veetuku poitiya da mola koothi,whatsapp,,
2 naal munadi,whatsapp,,
Nithish alter ego,whatsapp,,
Yanathu  poo bro 🥱,whatsapp,,
Really Boring da,whatsapp,,
https://www.instagram.com/reel/DLbYmFCyN6S/?igsh=ZmVvNTBtb2M5eWoy,whatsapp,,
dei mallu ithu yappada yadutha,whatsapp,,
Gay 🌈,whatsapp,,
Ena da mapla depression ah,whatsapp,,
Bala in kailash <This message was edited>,whatsapp,,
Kai ah vitu side la muthu ooda balls ah amukitu irukan,whatsapp,,
bro,whatsapp,,
comedy bro,whatsapp,,
Dei thambi,whatsapp,,
deii loose koothi,whatsapp,,
bala live chat semma da,whatsapp,,
https://www.instagram.com/reel/DLo-JhAztYA/?igsh=MWp4MzQ4emlzbjRhaw==,whatsapp,,
https://www.instagram.com/reel/DFFpNa5IgLD/?igsh=MTlra2RlNjQ5dnplNw==,whatsapp,,
Thevidiya,whatsapp,,
Dei pundangala,whatsapp,,
Ellarum veliya vaanga da,whatsapp,,
@⁨Nithish Ksr⁩ @⁨Thols💫 Kuchi Naai⁩ ku cake cut pannalam,whatsapp,,
5.30 ku vettalam...seekiram vaanga,whatsapp,,
Recreate pananum,whatsapp,,
Tiruchengode la oombriya da thevidiya,whatsapp,,
Bala thevadiya potta poruki,whatsapp,,
Vandhachu da punda,whatsapp,,
Tea kudichitu irrukean da vandhuruvean 5 min,whatsapp,,
Oombu,whatsapp,,
Dai potta,whatsapp,,
Kannji kudi da,whatsapp,,
Kandraoli,whatsapp,,
Vanthu en sunni ah oombu da Ooty mundaa,whatsapp,,
Thevudiya @⁨Clg Bala Murugan AI&DS⁩,whatsapp,,
Such a bitch bala,whatsapp,,
Thevidiya bala oomba kuda laaki illa da nee thondi ketha,whatsapp,,
Bala kena ketha seekiram vaada thondi,whatsapp,,
Yaru suni ah sucking da bala,whatsapp,,
Thondi bala,whatsapp,,
@⁨Clg Bala Murugan AI&DS⁩ rendu balls iruntha vaada,whatsapp,,
Thulla thindamavane,whatsapp,,
Thunlla thindamavaneeeyyyyy,whatsapp,,
Kena ketua bala,whatsapp,,
Dei 50 anupuga da,whatsapp,,
Evanda mathan phonela irundu message panrathu 🤣,whatsapp,,
Adhu oru thevudiya paiyan daa,whatsapp,,
Yar yaruku ena food da Venum kena pundaigala,whatsapp,,
POLL:,whatsapp,,
https://www.linkedin.com/posts/kavin-selvaraj_leadershiptalk-campustocorporate-kpriet-activity-7349069081154572289-tLMV?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAAED5-kwBmOEHfKSBSDGaPLYBIK5zQfY3NBs&utm_campaign=copy_link,whatsapp,,
boys ithuku oru like potu vidunga,whatsapp,,
You deleted this message,whatsapp,,
"ஜெஃபின் ஓரினச்சேர்க்கையாளன்"" என்பதை தமிழில் ""ஜெஃபின் ஒரு பால் ஈர்ப்பாளர்"" அல்லது ""ஜெஃபினுக்கு ஆண்களின் மீது ஈர்ப்பு உண்டு"" என்று சொல்லலாம்.",whatsapp,,
@⁨~ROJAR😎⁩,whatsapp,,
oombuuuu,whatsapp,,
"தொல்ஸ் என்பது பெண்ணியம் ஆர்வமுள்ள ஒருவராகும், அவர் பெண்களுடன் காமம் செய்ய விரும்புகிறார். @⁨Thols💫 Kuchi Naai⁩",whatsapp,,
avan ponnungala Thanda seivan unnaya seivan?,whatsapp,,
தொல்ஸ் என்பது எப்போது மண்ணில் தன் உருண்டையை உறிஞ்சிக்கொண்டே இருப்பவன்.,whatsapp,,
ngoya molaiya oriyaren,whatsapp,,
தோல்ஸ் என்ற மனிதனுக்கு எப்போதும் தன்னுடைய குத்தியை வாயில் வைத்து உறிஞ்சுவதற்கான பழக்கம் உள்ளது.,whatsapp,,
ஜெஃபின் ஆண்கள் மற்றும் பாலினத்தவர்களுடன் அதிகமாக உடலுறவு கொண்டார்.,whatsapp,,
"தோல்ஸ் அனைவருடனும் உடலுறவு கொள்ளும் ஒரு பையன், அவர் விலங்குகளுடன் கூட உடலுறவு கொள்கிறார், மேலும் அவர் குதிரை ஆண்குறியை உறிஞ்சுகிறார் <This message was edited>",whatsapp,,
"ஜெஃபின் ஆணல்ல, பெண்ணாகவும் திருநங்கையாகவும் கருதப்படுகிறார். அவன் பகுதி நேரமாக ஆணின் ஆண்குறியை உறிஞ்சுவதும், இரவில் விபச்சாரியாகத் தனது தொழிலைச் செய்வதும் ஆகும்.",whatsapp,,
"நெடுஞ்சாலையில் டார்ச் விளக்கைப் பிடித்துக் கொண்டு லாரி ஓட்டுநர்களின் கண்களுக்கு நேராக டார்ச் விளக்கைக் காட்டி அவர்களை நிறுத்தி மயக்கி தங்கள் பிராத்தல் வீட்டிற்கு அழைத்துச் செல்லும் ஓரினச்சேர்க்கையாளர் தோல்ஸ் அவர்களுடன் ஒரு கடினமான குதவழி உடலுறவு கொள்கிறார், அவர்களுடன் ஒரு ஃபோர்ப்ளே செய்கிறார் வெறும் 2 ரூபாய் மட்டுமே",whatsapp,,
"ஜெஃபின் இலக்கிய ரீதியாக கேஃபின் என்று அழைக்கப்படுகிறார், அவர் ஓரின சேர்க்கை தொழிலில் பிரபலமானவர் மற்றும் அவரது உறிஞ்சும் திறமையால் நன்கு வளர்ந்தவர். ஒரு முறை கேஃபின் ஒரு நாயை மிகவும் கடினமாக உறிஞ்சியதால் அந்த நாய் உடனடியாக இறந்துவிட்டது.",whatsapp,,
"அவர் தனது தொழிலை இலவசமாகவும், அதை சேவையாகவும் செய்து வருகிறார், மேலும் LGBTQ தலைவரிடமிருந்து விருதைப் பெறுகிறார்.",whatsapp,,
Ungaluku training ilaya da,whatsapp,,
iruku da,whatsapp,,
bore adikuthu athaan avana othutu iruken,whatsapp,,
"தோல்ஸ் ஒரு லெஸ்பியன் குதிரைகளுடன் உடலுறவு கொள்ள விரும்புகிறார் அவர் எப்போதும் தனது புண்டையில் 2 முதல் 3 குதிரைகள் டிக் வேண்டும் என்று விரும்பினார் அவள் பரந்த திறந்த புண்டையை வைத்திருக்கிறாள் ஒரு 5 குதிரை கூட அதன் டிக் அவளது புண்டைக்குள் அனுப்ப முடியும் அது எவ்வளவு பெரியது குதிரை போன்ற விலங்குகளுடன் உடலுறவு கொள்ள அவர் எப்போதும் ஏங்குகிறார், யானை, பல்லிகள் அவள் கூட பல்லிகளின் சிறிய டிக் உறிஞ்சும்",whatsapp,,
omfuu,whatsapp,,
en da horse mela aasaiya unaku,whatsapp,,
onaku dhaan aasai adhaan potruken😂,whatsapp,,
"மார்கழி மாதத்தில் தினமும் இரவில் தெரு நாய்களுக்கு விளக்கு பிடிக்கிறார், ஒரு நாயைப் பிடித்தார்.",whatsapp,,
"இதுதான் கேஃபின் கதையின் கதைக்களம், நன்றி வணக்கம்.",whatsapp,,
"ஒவ்வொருவரின் ஆண்குறியையும், விலங்குகளையும், தனது சொந்த ஆண்குறியையும் உறிஞ்சும் தோல்ஸ் என்று அழைத்த நபரின் முடிவு இதுதான், இந்த கதை விரைவில் தொடரும், மீண்டும் தோல்ஸ் அனைவரின் ஆண்குறியையும் உறிஞ்சத் தொடங்கும், எனவே பகுதி 2 தொடரும் வரை காத்திருங்கள்..... <This message was edited>",whatsapp,,
This message was deleted,whatsapp,,
"காத்திருக்கும் நேரத்தில், ஜெஃபின் என் குண்டியை வேகமாக உறிஞ்சப் போகிறான்.",whatsapp,,
"இனிமேல் நீங்க அவரோட குண்டியை ஃபக் பண்ணலாம், அவர் எல்லாருக்கும் ரொம்ப தெளிவா காட்டுவார்",whatsapp,,
machi black Thunder varingala,whatsapp,,
Saturday Leave and Sunday Leave da,whatsapp,,
